Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos
0,0.019940179,0.016949153,0.039880359,0.0777667,0.10667996,0,0.071784646,0,0,0.216350947,0.008973081,0.005982054,0,0.149551346,0.019940179,0.039880359,0,0.008973081,0.002991027,0.034895314,0.007976072,0.008973081,0,0,0.146560319,0.015952144
0,0,0,0.04509018,0.021042084,0.146292585,0,0.245490982,0.009018036,0,0.276553106,0.002004008,0,0,0.012024048,0,0,0,0.009018036,0,0.014028056,0.002004008,0.021042084,0,0,0.189378758,0.007014028
0,0,0.010989011,0.034965035,0.011988012,0.087912088,0,0.304695305,0.010989011,0,0.300699301,0.004995005,0,0,0.006993007,0,0,0,0.006993007,0,0.00999001,0,0.001998002,0,0,0.194805195,0.011988012
0,0,0.003996004,0.030969031,0.017982018,0.137862138,0,0.380619381,0.00999001,0,0.233766234,0,0,0,0.003996004,0,0,0,0.001998002,0,0.001998002,0.001998002,0.00999001,0,0,0.156843157,0.007992008
0,0,0,0.026,0.003,0.099,0,0.372,0.007,0,0.267,0,0,0,0,0,0,0,0.003,0,0.003,0.007,0.032,0,0,0.177,0.004
0,0,0,0.014,0,0.078,0.003,0.489,0.017,0,0.136,0.029,0,0,0,0,0,0,0,0,0.003,0,0.023,0,0,0.205,0.003
0,0,0.009,0.018,0.009,0.139,0,0.393,0.015,0,0.192,0.003,0,0,0.003,0,0,0,0,0,0,0,0.015,0,0,0.195,0.009
0,0,0.008991009,0.017982018,0.008991009,0.138861139,0,0.393606394,0.014985015,0,0.191808192,0.002997003,0,0,0.002997003,0,0,0,0,0,0,0,0.014985015,0,0,0.194805195,0.008991009
0,0,0.001998002,0.010989011,0.001998002,0.091908092,0,0.423576424,0.008991009,0,0.225774226,0.001998002,0,0,0,0,0,0,0.005994006,0.001998002,0,0.003996004,0.020979021,0,0,0.197802198,0.001998002
0,0.002,0.005,0.02,0.004,0.081,0,0.37,0.076,0,0.231,0,0,0,0,0,0,0,0.002,0,0.002,0.012,0.04,0,0,0.146,0.009
0,0,0,0.012,0,0.046,0,0.317,0.034,0,0.258,0,0,0,0,0,0,0,0,0,0,0.005,0.101,0,0,0.226,0.001
0,0.001998002,0.005994006,0.00999001,0,0.046953047,0,0.368631369,0.030969031,0,0.273726274,0,0,0,0.001998002,0,0,0,0.001998002,0,0,0,0.042957043,0,0,0.207792208,0.006993007
0,0,0,0.013,0,0.026,0,0.384,0.036,0,0.2,0,0,0,0.003,0,0,0,0,0,0,0,0.108,0,0,0.229,0.001
0,0,0,0.012,0,0.046,0,0.317,0.034,0,0.258,0,0,0,0,0,0,0,0,0,0,0.005,0.101,0,0,0.226,0.001
0.000997009,0,0.003988036,0.003988036,0.013958126,0.074775673,0.010967099,0.52442672,0.007976072,0,0.153539382,0.003988036,0,0,0,0,0,0,0.00997009,0,0.005982054,0.00997009,0,0,0,0.160518445,0.014955135
0,0.035035035,0.004004004,0.005005005,0.031031031,0.031031031,0.001001001,0.021021021,0.001001001,0.008008008,0.095095095,0.039039039,0.004004004,0,0.388388388,0.014014014,0.035035035,0.001001001,0.007007007,0.003003003,0.017017017,0.026026026,0,0,0,0.161161161,0.072072072
0,0.002002002,0.002002002,0.009009009,0.023023023,0.12012012,0,0.412412412,0.004004004,0,0.222222222,0,0,0,0.032032032,0,0,0,0.03003003,0.002002002,0.014014014,0.007007007,0.002002002,0,0,0.109109109,0.009009009
0,0,0.001001001,0.025025025,0.02002002,0.113113113,0,0.393393393,0.018018018,0,0.219219219,0,0,0,0.023023023,0,0,0,0.016016016,0.001001001,0.004004004,0.021021021,0.008008008,0,0,0.13013013,0.007007007
0.001996008,0,0.082834331,0.003992016,0.010978044,0,0.051896208,0,0,0.062874251,0.010978044,0.010978044,0.006986028,0.047904192,0.29241517,0,0.047904192,0,0.062874251,0.006986028,0.117764471,0.035928144,0,0.008982036,0,0.094810379,0.040918164
0,0.003,0.055,0.005,0.018,0.003,0.063,0.006,0,0.076,0.011,0.029,0.006,0.051,0.289,0,0.043,0,0.058,0.003,0.151,0.029,0,0.005,0.002,0.077,0.017
0.002,0.005,0.046,0.009,0.018,0.002,0.048,0.005,0,0.041,0.007,0.028,0,0.034,0.319,0,0.051,0.002,0.035,0.018,0.113,0.023,0,0.007,0,0.16,0.027
0,0.003,0.05,0.002,0.036,0.008,0.032,0.006,0,0.056,0.011,0.029,0.014,0.038,0.299,0,0.07,0,0.059,0.003,0.091,0.027,0,0.006,0,0.137,0.023
0,0.029,0.034,0,0.083,0.015,0.031,0,0,0.042,0.01,0.046,0.013,0.041,0.299,0,0.039,0.002,0.031,0.007,0.139,0.023,0,0.007,0,0.07,0.039
0,0.013,0.016,0,0.063,0.014,0.05,0,0,0.031,0.023,0.056,0.013,0.027,0.331,0,0.038,0.007,0.016,0.004,0.121,0.027,0,0.004,0,0.137,0.009
0,0.035,0.017,0.002,0.09,0.017,0.007,0.003,0,0.012,0.024,0.066,0.01,0.033,0.365,0,0.051,0.009,0.016,0.004,0.064,0.015,0,0.012,0.001,0.123,0.024
0,0.04,0.016,0,0.13,0.023,0.018,0,0,0.016,0.024,0.061,0.023,0.031,0.306,0,0.034,0.003,0.043,0.006,0.121,0.005,0,0.01,0,0.064,0.026
0,0.018,0.012,0,0.074,0.012,0.008,0,0,0.012,0.006,0.008,0.018,0.072,0.389,0,0.064,0,0.076,0.008,0.092,0.016,0,0.012,0,0.053,0.05
0,0,0,0.008982036,0.00998004,0.129740519,0,0.498003992,0.00998004,0,0.186626747,0.000998004,0,0,0.023952096,0,0,0,0.018962076,0,0.006986028,0.002994012,0.003992016,0,0,0.089820359,0.008982036
0,0.001970443,0.002955665,0.001970443,0.050246305,0.284729064,0,0.427586207,0.004926108,0,0.099507389,0,0,0,0.016748768,0,0.002955665,0,0.013793103,0,0,0.008866995,0,0,0,0.054187192,0.02955665
0,0,0.005982054,0.002991027,0.055832502,0.181455633,0,0.200398804,0.010967099,0,0.226321037,0.036889332,0,0,0.092721834,0,0.005982054,0,0.010967099,0,0,0.016949153,0.013958126,0,0,0.131605184,0.006979063
0.001984127,0.006944444,0.014880952,0.010912698,0.061507937,0.236111111,0,0.270833333,0.009920635,0,0.179563492,0.005952381,0.001984127,0,0.051587302,0.003968254,0.001984127,0,0.02281746,0.003968254,0.006944444,0.006944444,0.010912698,0,0,0.075396825,0.014880952
