"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"1","5,5","1.15","2.74","1.32","1.65","0.3","99.24","77.27","1.5025"
"2","5,6","0.87","2.16","1.1","1.47","0.25","99.16","83.77","1.245"
"3","5,7","1.02","2.12","1.09","1.46","0.25","99.19","85.71","1.23"
"4","5,8","1.11","2.75","1.25","1.66","0.29","98.98","79.87","1.4875"
"5","5,9","1.17","2.48","1.21","1.58","0.28","98.65","79.22","1.3875"
"6","5,10","1.34","2.77","1.26","1.67","0.29","98.81","81.17","1.4975"
"7","5,11","1.13","2.28","1.1","1.51","0.25","99.42","81.17","1.285"
"8","5,12","0.85","2.36","1.1","1.54","0.25","99.39","85.06","1.3125"
"9","5,13","0.83","2.22","1.17","1.49","0.27","99.28","82.47","1.2875"
"10","5,14","1.13","2.9","1.31","1.7","0.3","98.71","77.92","1.5525"
"11","5,15","0.96","2.29","1.14","1.51","0.26","99.43","83.77","1.3"
"12","6,5","0.85","2.07","1.12","1.44","0.26","99.83","83.12","1.2225"
"13","6,6","0.95","2.41","1.15","1.55","0.26","99.44","81.17","1.3425"
"14","6,7","0.9","2.24","1.12","1.5","0.26","98.96","84.42","1.28"
"15","6,8","1.11","2.41","1.18","1.55","0.27","99.16","77.27","1.3525"
"16","6,9","0.99","2.22","1.14","1.49","0.26","99.31","83.77","1.2775"
"17","6,10","1.02","2.06","1.03","1.43","0.24","99.22","85.71","1.19"
"18","6,11","0.83","1.98","1.07","1.41","0.24","99.45","85.71","1.175"
"19","6,12","0.86","1.93","1.06","1.39","0.24","99.92","85.71","1.155"
"20","6,13","0.97","2.26","1.14","1.5","0.26","99.23","82.47","1.29"
"21","6,14","0.91","2.23","1.11","1.49","0.25","99.19","85.71","1.27"
"22","6,15","0.72","1.84","1.07","1.36","0.24","99.71","86.36","1.1275"
"23","7,5","0.7","2.29","1.12","1.51","0.26","99.79","81.82","1.295"
"24","7,6","0.89","2.41","1.12","1.55","0.26","99.4","81.82","1.335"
"25","7,7","0.66","1.8","1.02","1.34","0.23","99.87","84.42","1.0975"
"26","7,8","0.72","1.74","1","1.32","0.23","98.95","86.36","1.0725"
"27","7,9","0.76","1.98","1.04","1.41","0.24","99.23","85.06","1.1675"
"28","7,10","0.69","1.93","1.02","1.39","0.23","99.59","85.71","1.1425"
"29","7,11","1.04","1.91","1.02","1.38","0.23","99.27","88.31","1.135"
"30","7,12","0.96","2.2","1.09","1.48","0.25","98.76","83.12","1.255"
"31","7,13","0.91","2.13","1.08","1.46","0.25","99.2","84.42","1.23"
"32","7,14","0.75","2.15","1.11","1.47","0.25","99.51","83.12","1.245"
"33","7,15","0.81","2.15","1.11","1.47","0.25","98.94","81.82","1.245"
"34","8,5","0.74","2.1","1.07","1.45","0.25","99.79","85.06","1.2175"
"35","8,6","0.73","1.89","1.02","1.37","0.23","99.44","85.06","1.1275"
"36","8,7","0.63","2.02","1.06","1.42","0.24","99.81","83.12","1.185"
"37","8,8","0.88","2.03","1.09","1.42","0.25","99.28","81.17","1.1975"
"38","8,9","0.99","1.98","1.05","1.41","0.24","98.93","84.42","1.17"
"39","8,10","0.84","2.12","1.06","1.46","0.24","99.16","85.71","1.22"
"40","8,11","0.57","2.31","1.07","1.52","0.24","99.57","81.82","1.285"
"41","8,12","0.65","1.92","1.01","1.39","0.23","99.99","87.01","1.1375"
"42","8,13","0.81","2.09","1.09","1.45","0.25","98.81","83.77","1.22"
"43","8,14","0.61","2.12","1.06","1.46","0.24","99.37","81.17","1.22"
"44","8,15","0.8","2.2","1.09","1.48","0.25","99.24","80.52","1.255"
"45","9,5","0.64","2.25","1.11","1.5","0.25","99.13","79.87","1.2775"
"46","9,6","0.51","2.08","1.06","1.44","0.24","99.49","85.06","1.205"
"47","9,7","0.58","2.27","1.14","1.51","0.26","99.91","81.82","1.295"
"48","9,8","0.64","1.82","0.96","1.35","0.22","99.83","88.31","1.0875"
"49","9,9","0.77","1.88","1.03","1.37","0.24","99.95","83.77","1.13"
"50","9,10","0.59","2.05","1.1","1.43","0.25","99.87","81.82","1.2075"
"51","9,11","0.59","2.1","1.07","1.45","0.25","99.48","81.82","1.2175"
"52","9,12","0.7","2.27","1.12","1.51","0.26","99.12","81.17","1.29"
"53","9,13","0.7","1.73","0.96","1.32","0.22","98.83","88.31","1.0575"
"54","9,14","0.53","2.11","1.08","1.45","0.25","99.71","81.17","1.2225"
"55","9,15","0.72","2.09","1.09","1.45","0.25","99.48","82.47","1.22"
"56","10,5","0.58","1.82","1","1.35","0.23","99.32","88.31","1.1"
"57","10,6","0.7","1.73","0.99","1.32","0.23","99.23","85.06","1.0675"
"58","10,7","0.6","1.89","1.01","1.37","0.23","99.74","86.36","1.125"
"59","10,8","0.6","2.11","1.06","1.45","0.24","99.2","87.01","1.215"
"60","10,9","0.59","1.94","1.05","1.39","0.24","99.15","83.77","1.155"
"61","10,10","0.62","2.14","1.11","1.46","0.25","99.44","85.06","1.24"
"62","10,11","0.73","1.8","1","1.34","0.23","99.57","87.66","1.0925"
"63","10,12","0.45","3","1.12","1.73","0.26","99.97","85.71","1.5275"
"64","10,13","0.4","2.03","1.08","1.42","0.25","99.4","83.77","1.195"
"65","10,14","0.36","1.78","0.94","1.33","0.21","99.36","88.31","1.065"
"66","10,15","0.44","2.21","1.04","1.49","0.24","99.92","85.06","1.245"
"67","11,5","0.57","2.01","0.99","1.42","0.23","99.21","86.36","1.1625"
"68","11,6","0.55","1.64","0.96","1.28","0.22","99.94","84.42","1.025"
"69","11,7","0.51","2.4","1.16","1.55","0.27","99.96","81.82","1.345"
"70","11,8","0.41","2.52","1.06","1.59","0.24","99.23","86.36","1.3525"
"71","11,9","0.58","1.74","0.98","1.32","0.22","99.61","86.36","1.065"
"72","11,10","0.44","1.76","1","1.33","0.23","99.95","83.12","1.08"
"73","11,11","0.6","1.76","0.99","1.33","0.23","99.7","88.31","1.0775"
"74","11,12","0.63","1.88","1.05","1.37","0.24","99.55","82.47","1.135"
"75","11,13","0.46","2.18","1.09","1.47","0.25","99.7","83.77","1.2475"
"76","11,14","0.58","1.72","1","1.31","0.23","99.98","85.06","1.065"
"77","11,15","0.57","1.77","1.04","1.33","0.24","99.51","87.01","1.095"
"78","12,5","0.5","2.08","1.1","1.44","0.25","99.61","81.82","1.2175"
"79","12,6","0.43","1.73","1.02","1.31","0.23","99.6","86.36","1.0725"
"80","12,7","0.64","2.33","1.15","1.53","0.26","99.86","84.42","1.3175"
"81","12,8","0.46","1.69","0.95","1.3","0.22","99.95","86.36","1.04"
"82","12,9","0.5","1.75","0.99","1.32","0.23","99.93","85.06","1.0725"
"83","12,10","0.35","1.76","1.01","1.33","0.23","99.76","86.36","1.0825"
"84","12,11","0.51","1.77","0.99","1.33","0.23","99.09","81.17","1.08"
"85","12,12","0.5","2.08","1.08","1.44","0.25","99.13","83.77","1.2125"
"86","12,13","0.38","1.85","0.98","1.36","0.22","99.29","84.42","1.1025"
"87","12,14","0.25","1.95","0.95","1.4","0.22","99.98","85.06","1.13"
"88","12,15","0.44","1.69","0.98","1.3","0.22","99.98","87.66","1.0475"
"89","13,5","0.5","1.95","1.06","1.4","0.24","99.4","85.71","1.1625"
"90","13,6","0.52","1.97","1.05","1.4","0.24","99.86","86.36","1.165"
"91","13,7","0.33","1.76","0.93","1.33","0.21","99.51","86.36","1.0575"
"92","13,8","0.53","1.94","1.05","1.39","0.24","99.94","86.36","1.155"
"93","13,9","0.28","1.87","0.97","1.37","0.22","99.67","86.36","1.1075"
"94","13,10","0.48","1.81","0.99","1.34","0.23","99.39","88.31","1.0925"
"95","13,11","0.6","2.13","1.13","1.46","0.26","99.53","85.71","1.245"
"96","13,12","0.4","2.15","1.08","1.47","0.25","99.26","83.77","1.2375"
"97","13,13","0.51","1.65","0.95","1.28","0.22","99.57","88.31","1.025"
"98","13,14","0.64","1.96","1.09","1.4","0.25","99.95","85.06","1.175"
"99","13,15","0.6","1.9","1.06","1.38","0.24","99.63","87.01","1.145"
"100","14,5","0.42","1.8","0.99","1.34","0.23","99.8","85.71","1.09"
"101","14,6","0.4","1.92","1.07","1.39","0.24","99.71","86.36","1.155"
"102","14,7","0.48","1.81","1","1.34","0.23","99.84","86.36","1.095"
"103","14,8","0.45","2.07","1.1","1.44","0.25","99.71","82.47","1.215"
"104","14,9","0.57","1.96","1.03","1.4","0.24","99.57","85.71","1.1575"
"105","14,10","0.42","1.97","1.02","1.4","0.23","99.29","85.71","1.155"
"106","14,11","0.47","1.78","1","1.34","0.23","99.54","87.01","1.0875"
"107","14,12","0.47","1.55","0.93","1.25","0.21","99.34","90.26","0.985"
"108","14,13","0.36","2.21","1.08","1.49","0.25","99.85","84.42","1.2575"
"109","14,14","0.52","1.59","0.99","1.26","0.23","99.7","87.01","1.0175"
"110","14,15","0.66","1.87","1.04","1.37","0.24","99.92","83.77","1.13"
"111","15,5","0.57","1.82","0.99","1.35","0.23","99.78","87.66","1.0975"
"112","15,6","0.48","1.86","1.03","1.36","0.24","99.34","81.82","1.1225"
"113","15,7","0.52","1.77","1.02","1.33","0.23","99.91","87.01","1.0875"
"114","15,8","0.49","1.89","1.03","1.37","0.24","99.63","87.01","1.1325"
"115","15,9","0.44","1.53","0.95","1.24","0.22","99.84","89.61","0.985"
"116","15,10","0.37","1.91","1.05","1.38","0.24","99.98","85.71","1.145"
"117","15,11","0.31","2.06","1.02","1.43","0.23","99.97","87.66","1.185"
"118","15,12","0.52","1.94","1","1.39","0.23","99.88","87.66","1.14"
"119","15,13","0.33","1.73","0.96","1.32","0.22","99.81","87.66","1.0575"
"120","15,14","0.56","1.89","1.03","1.37","0.24","99.96","85.06","1.1325"
