"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","0.81","0.8","1.11","0.17","99.56","89.61"
"2","5,6","0.66","0.75","1.08","0.16","99.32","90.91"
"3","5,7","0.77","0.81","1.14","0.17","99.65","86.36"
"4","5,8","0.79","0.82","1.09","0.17","99.82","88.31"
"5","5,9","0.79","0.81","1.09","0.17","99.55","88.31"
"6","5,10","0.73","0.71","1.02","0.15","99.53","90.26"
"7","5,11","0.87","0.82","1.1","0.17","99.5","87.01"
"8","5,12","0.91","0.84","1.14","0.18","99.73","88.96"
"9","5,13","0.77","0.82","1.11","0.17","99.61","88.31"
"10","5,14","0.89","0.86","1.15","0.18","99.27","88.31"
"11","5,15","0.82","0.84","1.11","0.18","99.7","86.36"
"12","6,5","0.75","0.81","1.14","0.17","99.18","90.26"
"13","6,6","0.7","0.81","1.09","0.17","99.43","90.91"
"14","6,7","0.52","0.76","1.08","0.16","99.6","91.56"
"15","6,8","0.8","0.85","1.18","0.18","99.66","88.96"
"16","6,9","0.7","0.83","1.12","0.17","98.93","88.96"
"17","6,10","0.71","0.86","1.16","0.18","99.2","88.96"
"18","6,11","0.86","0.89","1.16","0.19","99.6","85.71"
"19","6,12","0.74","0.89","1.18","0.19","99.37","88.96"
"20","6,13","0.83","0.86","1.18","0.18","99.34","87.01"
"21","6,14","0.71","0.82","1.11","0.17","99.18","87.66"
"22","6,15","0.63","0.83","1.15","0.18","99.28","89.61"
"23","7,5","0.66","0.86","1.15","0.18","99.44","85.71"
"24","7,6","0.7","0.81","1.13","0.17","99.32","87.01"
"25","7,7","0.69","0.8","1.12","0.17","99.89","90.26"
"26","7,8","0.54","0.84","1.22","0.18","99.83","91.56"
"27","7,9","0.77","0.83","1.17","0.17","99.71","86.36"
"28","7,10","0.87","0.85","1.15","0.18","99.35","88.96"
"29","7,11","0.67","0.77","1.08","0.16","99.82","92.21"
"30","7,12","0.59","0.82","1.16","0.17","99.64","88.96"
"31","7,13","0.55","0.85","1.12","0.18","99.61","88.31"
"32","7,14","0.48","0.73","1.02","0.16","99.83","90.26"
"33","7,15","0.6","0.82","1.11","0.17","99.45","90.26"
"34","8,5","0.68","0.8","1.11","0.17","99.39","84.42"
"35","8,6","0.55","0.85","1.14","0.18","99.61","88.96"
"36","8,7","0.59","0.85","1.16","0.18","99.31","87.01"
"37","8,8","0.72","0.79","1.09","0.17","99.25","87.66"
"38","8,9","0.82","0.85","1.13","0.18","99.53","88.31"
"39","8,10","0.47","0.79","1.12","0.17","99.6","85.06"
"40","8,11","0.5","0.84","1.14","0.18","99.99","88.31"
"41","8,12","0.57","0.76","1.03","0.16","99.09","90.26"
"42","8,13","0.65","0.85","1.14","0.18","99.47","87.01"
"43","8,14","0.69","0.8","1.15","0.17","99.42","86.36"
"44","8,15","0.72","0.84","1.15","0.18","99.96","88.31"
"45","9,5","0.54","0.75","1.06","0.16","99.75","89.61"
"46","9,6","0.46","0.86","1.18","0.18","100","87.66"
"47","9,7","0.57","0.8","1.17","0.17","99.59","89.61"
"48","9,8","0.61","0.78","1.15","0.16","99.22","88.96"
"49","9,9","0.43","0.78","1.05","0.16","99.77","90.91"
"50","9,10","0.51","0.79","1.08","0.17","99.81","88.96"
"51","9,11","0.57","0.85","1.16","0.18","99.58","87.01"
"52","9,12","0.68","0.87","1.14","0.18","99.16","88.96"
"53","9,13","0.67","0.82","1.14","0.17","99.61","90.91"
"54","9,14","0.57","0.77","1.04","0.16","99","90.91"
"55","9,15","0.66","0.81","1.1","0.17","99.49","88.31"
"56","10,5","0.78","0.85","1.12","0.18","99.49","88.96"
"57","10,6","0.54","0.78","1.1","0.16","99.57","90.26"
"58","10,7","0.56","0.82","1.12","0.17","99.58","91.56"
"59","10,8","0.53","0.8","1.08","0.17","99.9","88.96"
"60","10,9","0.53","0.84","1.17","0.18","99.36","88.31"
"61","10,10","0.56","0.76","1.08","0.16","99.86","90.26"
"62","10,11","0.31","0.84","1.2","0.18","99.86","85.71"
"63","10,12","0.35","0.86","1.29","0.18","100","87.01"
"64","10,13","0.49","0.83","1.2","0.17","99.39","88.31"
"65","10,14","0.63","0.89","1.24","0.19","99.08","85.06"
"66","10,15","2.28","1.06","1.4","0.22","99.71","77.92"
"67","11,5","0.5","0.79","1.05","0.17","99.51","91.56"
"68","11,6","0.52","0.79","1.1","0.17","99.84","89.61"
"69","11,7","0.52","0.76","1.04","0.16","99.66","90.26"
"70","11,8","0.54","0.8","1.08","0.17","99.63","88.96"
"71","11,9","0.55","0.74","1.06","0.16","99.46","88.31"
"72","11,10","0.42","0.85","1.3","0.18","99.66","89.61"
"73","11,11","0.46","0.79","1.12","0.17","99.28","87.66"
"74","11,12","0.55","0.77","1.06","0.16","99.62","90.26"
"75","11,13","0.63","0.84","1.17","0.18","99.98","88.96"
"76","11,14","0.37","0.83","1.21","0.18","99.34","85.71"
"77","11,15","0.75","0.81","1.13","0.17","99.69","88.96"
"78","12,5","0.32","0.8","1.2","0.17","99.71","88.31"
"79","12,6","0.45","0.8","1.07","0.17","99.86","90.26"
"80","12,7","0.7","0.82","1.13","0.17","99.57","88.96"
"81","12,8","0.45","0.8","1.1","0.17","99.99","86.36"
"82","12,9","0.39","0.74","1","0.16","99.52","88.31"
"83","12,10","0.51","0.8","1.06","0.17","99.75","87.66"
"84","12,11","0.5","0.78","1.13","0.17","99.61","88.31"
"85","12,12","0.64","0.79","1.06","0.17","99.27","90.91"
