"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.46","1.14","1.61","0.2","97.75","75.97"
"2","5,6","1.41","1.08","1.57","0.19","98.48","77.27"
"3","5,7","1.08","1.07","1.5","0.19","97.45","76.62"
"4","5,8","1.29","1.05","1.54","0.18","97.47","80.52"
"5","5,9","1.46","1.06","1.52","0.19","98.35","79.22"
"6","5,10","1.46","1.14","1.61","0.2","97.44","73.38"
"7","5,11","1.29","1.05","1.5","0.19","97.69","77.92"
"8","5,12","1.31","1.11","1.6","0.2","98.38","76.62"
"9","5,13","1.22","1.11","1.59","0.2","97.9","74.03"
"10","5,14","1.29","1.08","1.54","0.19","98.55","79.87"
"11","5,15","1.61","1.09","1.55","0.19","97.31","74.03"
"12","6,5","1.32","1.03","1.48","0.18","98.25","77.27"
"13","6,6","1.29","1.05","1.49","0.18","97.84","76.62"
"14","6,7","1.19","1.07","1.49","0.19","98.25","81.17"
"15","6,8","1.03","0.97","1.47","0.17","98.64","79.87"
"16","6,9","0.89","1","1.44","0.18","99.23","79.87"
"17","6,10","1.04","1.01","1.43","0.18","98.94","80.52"
"18","6,11","0.96","0.91","1.3","0.16","98.31","77.92"
"19","6,12","1.06","0.89","1.39","0.16","99.23","86.36"
"20","6,13","2.98","1.48","1.96","0.26","97.5","66.88"
"21","6,14","1.24","1.04","1.5","0.18","98.44","78.57"
"22","6,15","1.19","0.95","1.42","0.17","98.57","79.87"
"23","7,5","0.8","1.48","5.7","0.26","99.43","78.57"
"24","7,6","1.2","1.06","1.57","0.19","97.68","79.22"
"25","7,7","1.17","1.06","1.52","0.19","97.61","75.32"
"26","7,8","0.91","0.96","1.47","0.17","98.72","79.22"
"27","7,9","1.21","0.98","1.44","0.17","98.2","78.57"
"28","7,10","1.02","1","1.44","0.18","98.65","79.22"
"29","7,11","1.12","0.94","1.43","0.17","98.58","83.12"
"30","7,12","1.51","1.13","1.59","0.2","98.07","74.03"
