"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","0.82","0.96","1.52","0.21","99.18","83.12"
"2","5,6","0.99","0.88","1.26","0.19","99.29","84.42"
"3","5,7","0.97","0.91","1.29","0.2","99.26","83.77"
"4","5,8","0.83","0.94","1.31","0.2","99.8","81.82"
"5","5,9","0.93","0.87","1.21","0.19","99.81","85.71"
"6","5,10","0.84","0.87","1.24","0.19","99.34","83.77"
"7","5,11","1.34","0.98","1.34","0.21","99.2","83.77"
"8","5,12","0.89","0.94","1.34","0.2","99.8","82.47"
"9","5,13","0.9","0.96","1.38","0.21","99.61","83.12"
"10","5,14","0.95","0.9","1.23","0.2","99.86","84.42"
"11","5,15","0.97","0.93","1.29","0.2","99.59","85.06"
"12","6,5","0.75","0.91","1.33","0.2","99.98","85.06"
"13","6,6","0.78","0.97","1.41","0.21","99.97","83.77"
"14","6,7","1.13","1.02","1.36","0.22","99.75","82.47"
"15","6,8","0.78","0.86","1.25","0.19","99.82","87.66"
"16","6,9","0.81","0.88","1.24","0.19","99.57","83.12"
"17","6,10","0.93","0.82","1.14","0.18","99.95","85.71"
"18","6,11","0.78","0.92","1.3","0.2","99.93","83.12"
"19","6,12","0.83","0.97","1.35","0.21","99.4","83.12"
"20","6,13","0.81","0.9","1.32","0.2","99.62","83.12"
"21","6,14","0.89","0.92","1.28","0.2","99.8","82.47"
"22","6,15","0.87","0.86","1.22","0.19","99.99","85.71"
"23","7,5","0.83","0.87","1.26","0.19","99.9","82.47"
"24","7,6","0.96","0.89","1.27","0.19","99.5","82.47"
"25","7,7","0.69","0.81","1.14","0.18","99.68","87.01"
"26","7,8","0.77","0.84","1.15","0.18","99.86","85.06"
"27","7,9","0.72","0.88","1.25","0.19","99.95","85.06"
"28","7,10","0.64","0.91","1.31","0.2","99.98","86.36"
"29","7,11","0.72","0.93","1.35","0.2","99.86","85.71"
"30","7,12","0.74","0.91","1.31","0.2","99.71","84.42"
"31","7,13","0.86","0.85","1.18","0.19","99.69","87.66"
"32","7,14","0.62","0.85","1.23","0.19","99.9","86.36"
"33","7,15","0.86","0.87","1.24","0.19","99.81","86.36"
"34","8,5","0.62","0.87","1.19","0.19","99.44","85.06"
"35","8,6","0.73","0.84","1.2","0.18","99.49","85.71"
"36","8,7","0.57","0.86","1.38","0.19","99.79","89.61"
"37","8,8","0.7","0.83","1.16","0.18","99.62","86.36"
"38","8,9","0.7","0.9","1.37","0.2","99.52","84.42"
"39","8,10","0.7","0.83","1.21","0.18","99.92","85.71"
"40","8,11","0.73","0.82","1.19","0.18","99.69","88.96"
"41","8,12","0.68","0.83","1.25","0.18","99.45","84.42"
"42","8,13","0.66","0.87","1.24","0.19","99.63","84.42"
"43","8,14","0.84","0.89","1.27","0.19","99.85","84.42"
"44","8,15","0.81","0.88","1.25","0.19","100","86.36"
"45","9,5","0.68","0.83","1.17","0.18","99.84","88.96"
"46","9,6","0.55","0.81","1.17","0.18","99.48","89.61"
"47","9,7","0.54","0.8","1.11","0.17","99.98","86.36"
"48","9,8","0.68","0.77","1.09","0.17","99.9","87.01"
"49","9,9","0.78","0.85","1.24","0.19","99.79","85.71"
"50","9,10","0.67","0.8","1.12","0.17","99.9","85.71"
"51","9,11","2.65","1.34","1.71","0.29","98.1","75.32"
"52","9,12","0.7","0.85","1.23","0.18","99.83","87.01"
"53","9,13","0.56","0.8","1.17","0.17","99.77","88.96"
"54","9,14","0.64","0.8","1.11","0.17","99.58","87.66"
"55","9,15","0.65","0.81","1.19","0.18","99.87","83.77"
"56","10,5","0.6","0.77","1.12","0.17","99.69","89.61"
"57","10,6","0.53","0.76","1.12","0.17","99.33","89.61"
"58","10,7","0.58","0.76","1.11","0.16","99.91","90.26"
"59","10,8","0.56","0.81","1.16","0.18","99.9","90.26"
"60","10,9","0.68","0.8","1.1","0.17","99.89","85.06"
"61","10,10","0.6","0.77","1.12","0.17","99.74","85.71"
"62","10,11","0.48","0.77","1.09","0.17","99.04","88.31"
"63","10,12","0.36","0.8","1.3","0.18","98.92","88.31"
"64","10,13","0.56","0.77","1.07","0.17","99.47","87.01"
"65","10,14","0.45","0.77","1.08","0.17","99.7","89.61"
"66","10,15","0.81","0.8","1.1","0.17","99.46","86.36"
"67","11,5","0.66","0.79","1.18","0.17","99.94","87.01"
"68","11,6","0.51","0.74","1.07","0.16","100","85.06"
"69","11,7","0.44","0.88","1.23","0.19","98.94","87.01"
"70","11,8","0.68","0.8","1.13","0.17","99.74","85.06"
"71","11,9","0.52","0.81","1.17","0.18","99.94","86.36"
"72","11,10","0.36","0.79","1.24","0.17","99.8","88.96"
"73","11,11","0.45","0.83","1.18","0.18","99.35","87.66"
"74","11,12","0.62","0.82","1.17","0.18","100","85.71"
"75","11,13","0.67","0.82","1.2","0.18","99.8","86.36"
"76","11,14","0.57","0.78","1.14","0.17","99.52","89.61"
"77","11,15","0.55","0.79","1.17","0.17","99.75","88.31"
"78","12,5","0.53","0.8","1.16","0.17","99.88","89.61"
"79","12,6","0.51","0.76","1.12","0.17","99.17","88.96"
"80","12,7","0.77","0.84","1.26","0.18","99.6","85.71"
"81","12,8","0.48","0.72","1.06","0.16","99.64","92.21"
"82","12,9","0.65","0.78","1.16","0.17","99.59","85.71"
"83","12,10","0.53","0.72","1.03","0.16","99.62","88.96"
"84","12,11","0.56","0.78","1.1","0.17","99.6","89.61"
"85","12,12","0.65","0.8","1.17","0.17","99.8","87.66"
"86","12,13","0.67","0.82","1.19","0.18","99.88","86.36"
"87","12,14","0.54","0.81","1.2","0.18","99.69","87.01"
"88","12,15","0.58","0.85","1.3","0.18","99.73","86.36"
"89","13,5","0.59","0.73","1.03","0.16","99.97","90.91"
"90","13,6","0.5","0.75","1.15","0.16","99.97","88.96"
"91","13,7","0.6","0.8","1.23","0.17","99.83","87.66"
"92","13,8","0.53","0.7","0.99","0.15","99.52","91.56"
"93","13,9","0.51","0.73","1.09","0.16","99.87","89.61"
