"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"94","13,10","0.54","0.71","1.07","0.15","99.6","92.21"
"95","13,11","0.73","0.9","1.44","0.2","99.7","87.66"
"96","13,12","0.46","0.68","0.99","0.15","99.16","93.51"
"97","13,13","0.3","0.87","1.3","0.19","99.83","88.31"
"98","13,14","0.35","0.75","1.07","0.16","99.98","88.31"
"99","13,15","0.44","0.77","1.11","0.17","99.7","88.31"
"100","14,5","0.46","0.81","1.38","0.18","99.74","90.26"
"101","14,6","0.55","0.8","1.2","0.18","99.85","86.36"
"102","14,7","0.44","0.73","1.01","0.16","99.7","92.86"
"103","14,8","0.49","0.71","1","0.16","99.72","90.26"
"104","14,9","0.56","0.74","1.07","0.16","99.83","88.31"
"105","14,10","0.58","0.86","1.41","0.19","99.59","88.31"
"106","14,11","0.71","0.74","1.07","0.16","99.99","87.66"
"107","14,12","0.48","0.74","1.08","0.16","99.52","88.31"
"108","14,13","0.45","0.72","1","0.16","99.17","92.21"
"109","14,14","0.24","0.9","1.57","0.2","99.45","88.31"
"110","14,15","0.37","0.77","1.06","0.17","98.62","88.96"
"111","15,5","0.5","0.78","1.19","0.17","99.71","88.31"
"112","15,6","0.53","0.78","1.17","0.17","99.92","87.01"
"113","15,7","0.6","0.76","1.15","0.16","99.59","88.96"
"114","15,8","0.39","0.76","1.18","0.16","99.75","88.31"
"115","15,9","0.66","0.8","1.17","0.17","99.81","88.31"
"116","15,10","0.29","0.75","1.12","0.16","99.47","90.26"
"117","15,11","0.56","0.73","1.07","0.16","99.88","89.61"
"118","15,12","0.5","0.73","1.16","0.16","99.65","90.26"
"119","15,13","0.38","0.87","1.68","0.19","99.93","88.31"
"120","15,14","0.33","0.74","1.08","0.16","99.57","90.91"
"121","15,15","0.33","0.84","1.26","0.18","99.78","87.66"
