"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.31","0.93","1.2","0.21","99.04","84.42"
"2","5,6","1.18","0.94","1.25","0.21","98.85","82.47"
"3","5,7","1.27","1.09","1.42","0.24","98.23","79.22"
"4","5,8","1","1.04","1.53","0.23","99.05","81.82"
"5","5,9","1.25","0.99","1.35","0.22","98.89","79.87"
"6","5,10","1.29","1.09","1.42","0.24","98.84","78.57"
"7","5,11","1.09","1.13","1.51","0.25","98.27","74.68"
"8","5,12","1.22","0.98","1.29","0.22","98.78","81.17"
"9","5,13","1.15","1.01","1.43","0.22","98.33","81.17"
"10","5,14","1.27","1.08","1.41","0.24","99.19","78.57"
"11","5,15","0.72","0.95","1.3","0.21","99.19","78.57"
"12","6,5","1.19","0.98","1.33","0.22","99.13","81.17"
"13","6,6","1.16","1.03","1.39","0.23","98.6","77.92"
"14","6,7","1.09","1.01","1.37","0.22","98.55","81.82"
"15","6,8","0.84","0.97","1.39","0.21","98.45","81.17"
"16","6,9","1.05","1.09","1.61","0.24","99.59","79.87"
"17","6,10","1","0.94","1.33","0.21","98.54","80.52"
"18","6,11","1.05","0.92","1.26","0.2","98.55","85.71"
"19","6,12","1.07","1.02","1.47","0.23","99","79.22"
"20","6,13","1.01","0.95","1.36","0.21","98.84","81.82"
"21","6,14","0.99","0.84","1.06","0.19","98.81","87.01"
"22","6,15","1.36","1.1","1.54","0.24","99.82","77.92"
"23","7,5","1.16","1.02","1.38","0.23","99.52","81.17"
"24","7,6","0.88","0.89","1.3","0.2","99.53","85.06"
"25","7,7","1.04","0.9","1.19","0.2","99","83.12"
"26","7,8","1.07","1.01","1.34","0.22","98.28","77.27"
"27","7,9","0.73","0.88","1.25","0.19","99.36","84.42"
"28","7,10","0.73","1.03","1.41","0.23","98.28","79.87"
"29","7,11","0.87","0.91","1.35","0.2","98.5","83.12"
"30","7,12","0.87","1.06","1.49","0.24","99.01","79.22"
"31","7,13","0.88","1.14","1.57","0.25","99.7","74.68"
"32","7,14","0.93","0.93","1.28","0.21","99.18","85.06"
"33","7,15","0.8","0.93","1.38","0.21","99.25","83.12"
"34","8,5","0.68","0.98","1.42","0.22","99.23","79.87"
"35","8,6","0.85","0.86","1.11","0.19","99.52","86.36"
"36","8,7","0.76","0.94","1.38","0.21","98.4","81.17"
"37","8,8","0.82","0.93","1.35","0.21","99.19","85.06"
"38","8,9","0.68","1.02","1.5","0.23","97.57","83.12"
"39","8,10","1.01","0.93","1.27","0.21","99.79","81.17"
"40","8,11","0.92","1.05","1.65","0.23","99.48","79.22"
"41","8,12","1.02","0.99","1.36","0.22","99.33","82.47"
"42","8,13","0.94","0.95","1.32","0.21","99.27","82.47"
"43","8,14","0.99","0.95","1.2","0.21","98.76","83.12"
"44","8,15","0.94","0.89","1.15","0.2","99.05","83.77"
"45","9,5","0.88","0.93","1.33","0.21","98.39","83.12"
"46","9,6","0.8","0.9","1.23","0.2","98.86","84.42"
"47","9,7","0.53","1.03","1.47","0.23","99.4","81.17"
"48","9,8","0.84","0.91","1.23","0.2","99.84","83.77"
"49","9,9","0.99","0.97","1.34","0.22","99.16","81.82"
"50","9,10","1.05","0.94","1.25","0.21","99.23","84.42"
"51","9,11","1.1","0.95","1.25","0.21","99.25","81.17"
"52","9,12","0.54","0.9","1.26","0.2","98.18","85.71"
"53","9,13","0.96","1.01","1.39","0.22","98.56","77.27"
"54","9,14","0.55","0.99","1.56","0.22","98.97","83.12"
"55","9,15","0.82","1","1.32","0.22","99.2","80.52"
"56","10,5","0.71","1.02","1.56","0.23","98.27","80.52"
"57","10,6","0.74","1","1.33","0.22","99.69","81.82"
"58","10,7","0.68","0.95","1.35","0.21","98.43","84.42"
"59","10,8","0.44","1.04","1.53","0.23","97.36","82.47"
"60","10,9","0.69","0.85","1.2","0.19","98.95","85.06"
"61","10,10","0.7","0.84","1.16","0.19","98.62","83.12"
"62","10,11","0.79","0.98","1.41","0.22","99.3","81.17"
"63","10,12","0.32","1.01","1.82","0.22","98.95","83.77"
"64","10,13","0.71","0.99","1.43","0.22","98.82","85.71"
"65","10,14","0.73","0.8","1.13","0.18","98.12","86.36"
"66","10,15","1.05","0.92","1.2","0.2","98.42","81.17"
"67","11,5","0.52","0.89","1.3","0.2","99.34","84.42"
"68","11,6","0.58","1.01","1.54","0.22","98.92","82.47"
