"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"69","11,7","0.7","1","1.42","0.22","99.65","82.47"
"70","11,8","0.59","1.02","1.49","0.23","98.24","80.52"
"71","11,9","0.7","0.91","1.35","0.2","99.43","83.77"
"72","11,10","0.79","0.87","1.33","0.19","99.63","86.36"
"73","11,11","0.73","0.99","1.48","0.22","98.95","79.87"
"74","11,12","0.49","0.95","1.45","0.21","99.97","82.47"
"75","11,13","0.37","0.93","1.25","0.21","99.8","83.77"
"76","11,14","0.72","0.97","1.4","0.21","98.46","85.71"
"77","11,15","0.58","1","1.58","0.22","99.6","83.12"
"78","12,5","0.64","0.94","1.5","0.21","99.55","82.47"
"79","12,6","0.5","0.95","1.45","0.21","99.56","84.42"
"80","12,7","0.38","1.04","1.55","0.23","99.95","81.82"
"81","12,8","0.72","0.89","1.31","0.2","99.29","85.06"
"82","12,9","0.68","0.92","1.36","0.2","99.36","88.31"
"83","12,10","0.56","0.94","1.32","0.21","98.77","83.77"
"84","12,11","0.6","0.94","1.53","0.21","98.69","81.82"
"85","12,12","0.54","0.89","1.33","0.2","98.03","87.66"
"86","12,13","0.76","0.84","1.23","0.19","99.94","84.42"
"87","12,14","0.76","0.91","1.28","0.2","99.93","83.77"
"88","12,15","0.36","0.99","1.46","0.22","99.21","83.77"
"89","13,5","0.43","0.92","1.3","0.2","98.34","85.71"
"90","13,6","0.5","1.03","1.58","0.23","98.17","82.47"
"91","13,7","0.51","0.93","1.35","0.21","99.43","84.42"
"92","13,8","0.69","0.93","1.43","0.21","99.13","84.42"
"93","13,9","0.46","0.94","1.52","0.21","98.71","83.77"
"94","13,10","0.47","0.96","1.42","0.21","98.76","80.52"
"95","13,11","0.61","0.89","1.3","0.2","98.58","84.42"
"96","13,12","0.69","0.92","1.34","0.2","98.86","86.36"
"97","13,13","0.43","1.03","1.7","0.23","98.88","82.47"
"98","13,14","0.58","0.88","1.39","0.19","99.18","87.66"
"99","13,15","0.54","0.89","1.28","0.2","98.9","85.71"
"100","14,5","0.33","0.97","1.48","0.22","97.89","81.82"
"101","14,6","0.37","0.99","1.45","0.22","98.83","79.87"
"102","14,7","0.41","0.91","1.25","0.2","99.12","87.01"
"103","14,8","0.39","1.01","1.56","0.22","99.2","85.71"
"104","14,9","0.43","0.84","1.15","0.18","99.11","87.01"
"105","14,10","0.65","1","1.66","0.22","98.86","81.82"
"106","14,11","0.47","1.03","1.65","0.23","99.24","83.77"
"107","14,12","0.34","0.86","1.31","0.19","99.11","86.36"
"108","14,13","0.44","0.94","1.31","0.21","99.02","78.57"
"109","14,14","0.42","0.92","1.4","0.2","99.08","81.82"
"110","14,15","0.4","0.91","1.45","0.2","98.14","85.06"
"111","15,5","0.49","0.92","1.39","0.2","99.28","81.82"
"112","15,6","0.57","0.87","1.28","0.19","98.78","83.77"
"113","15,7","0.52","0.96","1.42","0.21","99.33","85.06"
"114","15,8","0.66","0.93","1.34","0.21","99.53","84.42"
"115","15,9","0.38","0.94","1.78","0.21","99.81","83.77"
"116","15,10","0.42","0.87","1.2","0.19","99.4","85.06"
"117","15,11","0.5","0.96","1.43","0.21","99.25","83.77"
"118","15,12","0.35","1.09","1.75","0.24","98.84","79.22"
"119","15,13","0.36","0.92","1.49","0.2","99.1","85.06"
"120","15,14","0.34","0.93","1.5","0.21","98.2","84.42"
"121","15,15","0.35","0.95","1.32","0.21","98.77","85.71"
