"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"78","12,5","0.49","1.08","0.77","1.04","0.17","99.45","88.96","0.765"
"79","12,6","0.51","0.95","0.75","0.97","0.17","99.99","87.66","0.71"
"80","12,7","0.45","1.23","0.81","1.11","0.18","99.65","87.66","0.8325"
"81","12,8","0.62","1.11","0.84","1.05","0.19","99.38","89.61","0.7975"
"82","12,9","0.61","1.12","0.81","1.06","0.18","99.47","90.26","0.7925"
"83","12,10","0.36","1.31","0.8","1.15","0.18","98.87","88.96","0.86"
"84","12,11","0.39","1.49","0.86","1.22","0.19","99.66","87.01","0.94"
"85","12,12","0.72","1.14","0.82","1.07","0.18","99.38","88.31","0.8025"
"86","12,13","0.76","1.23","0.85","1.11","0.19","99.83","88.96","0.845"
"87","12,14","0.56","1.1","0.79","1.05","0.18","99.45","90.26","0.78"
"88","12,15","0.66","1.29","0.84","1.14","0.19","99.28","87.66","0.865"
"89","13,5","0.43","1.22","0.8","1.1","0.18","99.31","88.31","0.825"
"90","13,6","0.49","1.25","0.85","1.12","0.19","99.82","88.96","0.8525"
"91","13,7","0.49","1.59","0.94","1.26","0.21","99.1","85.06","1"
"92","13,8","0.54","1.28","0.83","1.13","0.19","99.03","85.71","0.8575"
"93","13,9","0.46","1.19","0.78","1.09","0.17","99.78","92.21","0.8075"
"94","13,10","0.46","1.18","0.82","1.09","0.18","99.59","88.96","0.8175"
"95","13,11","0.5","1.15","0.76","1.07","0.17","99.55","88.96","0.7875"
"96","13,12","0.47","1.16","0.79","1.07","0.18","99.2","88.31","0.8"
"97","13,13","0.43","1.13","0.78","1.06","0.17","99.91","90.26","0.785"
"98","13,14","0.49","1.06","0.76","1.03","0.17","99.16","91.56","0.755"
"99","13,15","0.51","1.16","0.76","1.08","0.17","99.98","88.96","0.7925"
"100","14,5","0.32","1.16","0.79","1.08","0.18","99.43","87.66","0.8025"
"101","14,6","0.41","1.32","0.83","1.15","0.19","99.28","87.01","0.8725"
"102","14,7","0.52","1.2","0.83","1.1","0.19","99.84","89.61","0.83"
"103","14,8","0.45","0.95","0.74","0.98","0.16","99.71","90.91","0.7075"
"104","14,9","0.66","1.24","0.87","1.11","0.19","99.64","88.31","0.8525"
"105","14,10","0.54","0.98","0.76","0.99","0.17","99.76","92.86","0.725"
"106","14,11","0.44","0.85","0.71","0.92","0.16","99.42","94.16","0.66"
"107","14,12","0.37","1.21","0.83","1.1","0.18","99.56","89.61","0.83"
"108","14,13","0.59","1.31","0.85","1.15","0.19","99.95","89.61","0.875"
"109","14,14","0.3","0.9","0.71","0.95","0.16","99.43","90.91","0.68"
"110","14,15","0.26","1.09","0.76","1.05","0.17","99.79","88.31","0.7675"
"111","15,5","0.53","1.27","0.84","1.13","0.19","99.71","89.61","0.8575"
"112","15,6","0.32","1.2","0.77","1.1","0.17","99.22","90.26","0.81"
"113","15,7","0.58","1.03","0.81","1.01","0.18","99.79","88.31","0.7575"
"114","15,8","0.6","1.19","0.84","1.09","0.19","99.64","90.91","0.8275"
"115","15,9","0.4","1.09","0.8","1.04","0.18","99.7","88.96","0.7775"
"116","15,10","0.4","1.25","0.84","1.12","0.19","99.87","85.06","0.85"
"117","15,11","0.33","1.17","0.78","1.08","0.17","99.63","85.71","0.8"
"118","15,12","0.47","1.32","0.85","1.15","0.19","99.6","91.56","0.8775"
"119","15,13","0.35","0.96","0.73","0.98","0.16","99.45","90.91","0.7075"
"120","15,14","0.62","1.11","0.81","1.06","0.18","99.95","87.01","0.79"
"121","15,15","0.44","1.21","0.82","1.1","0.18","99.79","90.91","0.8275"
