"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"79","12,6","0.58","1.35","0.87","1.16","0.21","99.11","85.06","0.8975"
"80","12,7","0.63","1.22","0.81","1.11","0.19","99.5","88.31","0.8325"
"81","12,8","0.57","1.61","0.87","1.27","0.21","99.43","83.77","0.99"
"82","12,9","0.44","1.36","0.83","1.17","0.2","99.99","87.01","0.89"
"83","12,10","0.7","1.57","0.84","1.25","0.2","99.44","87.66","0.965"
"84","12,11","0.42","1.78","0.86","1.33","0.21","99.51","87.66","1.045"
"85","12,12","0.57","1.33","0.83","1.15","0.2","99.39","85.06","0.8775"
"86","12,13","0.47","1.48","0.88","1.22","0.21","99.45","85.06","0.9475"
"87","12,14","0.61","1.27","0.79","1.13","0.19","99","91.56","0.845"
"88","12,15","0.33","2.01","0.86","1.42","0.2","99.26","87.01","1.1225"
"89","13,5","0.54","1.56","0.84","1.25","0.2","99.88","81.82","0.9625"
"90","13,6","0.47","1.57","0.84","1.25","0.2","99.74","87.66","0.965"
"91","13,7","0.67","1.16","0.78","1.08","0.19","99.94","91.56","0.8025"
"92","13,8","0.49","1.72","0.87","1.31","0.21","99.77","84.42","1.0275"
"93","13,9","0.61","1.72","0.85","1.31","0.2","99.45","84.42","1.02"
"94","13,10","0.48","1.56","0.84","1.25","0.2","99.54","87.01","0.9625"
"95","13,11","0.73","1.36","0.8","1.17","0.19","99.17","87.01","0.88"
"96","13,12","0.36","2.16","0.93","1.47","0.22","99.29","85.06","1.195"
"97","13,13","0.72","1.69","0.88","1.3","0.21","99.44","85.06","1.02"
"98","13,14","0.63","1.55","0.84","1.24","0.2","99.47","85.06","0.9575"
"99","13,15","0.48","1.38","0.83","1.18","0.2","99.76","87.01","0.8975"
"100","14,5","0.66","1.1","0.76","1.05","0.18","99.78","90.91","0.7725"
"101","14,6","0.35","1.85","0.89","1.36","0.21","99.45","82.47","1.0775"
"102","14,7","0.55","3.14","0.97","1.77","0.23","99.66","87.01","1.5275"
"103","14,8","0.58","1.22","0.76","1.1","0.18","99.33","88.96","0.815"
"104","14,9","0.55","2.09","0.92","1.45","0.22","99.22","82.47","1.17"
"105","14,10","0.46","2.07","0.85","1.44","0.2","99.71","88.31","1.14"
"106","14,11","0.76","1.4","0.8","1.18","0.19","99.36","86.36","0.8925"
"107","14,12","0.31","2.27","0.9","1.51","0.22","98.94","85.71","1.225"
"108","14,13","0.62","1.37","0.83","1.17","0.2","99.88","85.71","0.8925"
"109","14,14","0.76","1.59","0.89","1.26","0.21","99.28","84.42","0.9875"
"110","14,15","0.61","1.14","0.75","1.07","0.18","99.72","88.31","0.785"
"111","15,5","0.48","1.6","0.79","1.26","0.19","99.64","88.31","0.96"
"112","15,6","0.59","1.6","0.86","1.27","0.2","99.49","87.66","0.9825"
"113","15,7","0.44","2.18","0.96","1.48","0.23","99.88","82.47","1.2125"
"114","15,8","0.43","2.02","0.92","1.42","0.22","99.32","84.42","1.145"
"115","15,9","0.51","1.82","0.86","1.35","0.21","99.39","88.31","1.06"
"116","15,10","0.53","1.53","0.84","1.24","0.2","99.36","87.01","0.9525"
"117","15,11","0.73","1.62","0.86","1.27","0.2","99.73","85.06","0.9875"
"118","15,12","0.58","1.47","0.84","1.21","0.2","99.9","88.96","0.93"
"119","15,13","0.43","1.5","0.82","1.22","0.2","99.1","90.26","0.935"
"120","15,14","0.32","1.43","0.82","1.2","0.2","99.84","88.31","0.9125"
"121","15,15","0.36","2.02","0.92","1.42","0.22","99.2","86.36","1.145"
