"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","0.74","0.77","1.09","0.14","98.89","86.36"
"2","5,6","0.97","0.76","1.02","0.13","98.89","86.36"
"3","5,7","0.63","0.74","1.21","0.13","99.21","91.56"
"4","5,8","0.54","0.78","1.26","0.14","99.88","88.31"
"5","5,9","0.66","0.71","0.96","0.13","99.23","88.31"
"6","5,10","0.58","0.74","1.02","0.13","98.45","88.31"
"7","5,11","0.71","0.73","0.98","0.13","99","88.96"
"8","5,12","0.99","0.71","0.93","0.13","98.86","87.66"
"9","5,13","1","0.78","0.99","0.14","98.74","87.01"
"10","5,14","0.9","0.68","0.89","0.12","98.68","91.56"
"11","5,15","0.83","0.69","0.91","0.12","98.91","91.56"
"12","6,5","0.8","0.7","0.95","0.12","98.77","87.66"
"13","6,6","0.86","0.67","0.9","0.12","98.83","90.91"
"14","6,7","0.6","0.76","1.08","0.13","99.14","87.66"
"15","6,8","0.64","0.75","1.04","0.13","99.11","88.96"
"16","6,9","0.91","0.71","0.92","0.13","99.3","87.66"
"17","6,10","0.62","0.7","0.93","0.12","98.97","87.66"
"18","6,11","0.97","0.85","1.42","0.15","98.71","87.01"
"19","6,12","0.67","0.67","0.85","0.12","98.24","90.26"
"20","6,13","0.61","0.73","0.99","0.13","99.11","90.26"
"21","6,14","0.63","0.8","1.13","0.14","98.81","84.42"
"22","6,15","0.7","0.71","0.94","0.13","98.68","87.66"
"23","7,5","0.74","0.75","0.99","0.13","98.74","87.66"
"24","7,6","0.63","0.69","0.9","0.12","98.56","85.71"
"25","7,7","0.6","0.66","0.89","0.12","98.57","90.26"
"26","7,8","0.65","0.73","0.95","0.13","98.3","88.31"
"27","7,9","0.49","0.75","1.1","0.13","99.02","87.66"
"28","7,10","0.63","0.75","1.05","0.13","98.67","84.42"
"29","7,11","0.48","0.72","1","0.13","99.01","88.96"
"30","7,12","0.51","0.77","1.32","0.14","99.42","85.06"
"31","7,13","0.51","0.76","1.04","0.13","99.19","87.66"
"32","7,14","0.64","0.71","0.94","0.13","98.72","90.91"
"33","7,15","0.66","0.74","1","0.13","98.4","88.31"
"34","8,5","0.57","0.72","0.93","0.13","99.14","88.31"
"35","8,6","0.48","0.72","1.02","0.13","98.96","88.96"
"36","8,7","0.6","0.66","0.9","0.12","98.54","91.56"
"37","8,8","0.65","0.7","0.91","0.12","98.69","89.61"
"38","8,9","0.81","0.77","1.03","0.14","99.23","85.06"
"39","8,10","0.96","0.79","1.02","0.14","98.87","86.36"
"40","8,11","0.81","0.71","0.94","0.13","98.93","87.01"
"41","8,12","0.42","0.7","0.93","0.12","99.28","90.26"
"42","8,13","0.6","0.68","0.94","0.12","98.86","89.61"
"43","8,14","0.67","0.75","0.97","0.13","98.36","88.96"
"44","8,15","0.6","0.78","1.06","0.14","98.37","84.42"
"45","9,5","0.53","0.74","1.33","0.13","99.24","88.31"
"46","9,6","0.65","0.68","0.91","0.12","98.26","88.31"
"47","9,7","0.75","0.71","0.94","0.13","98.56","89.61"
"48","9,8","0.61","0.71","0.99","0.13","98.52","89.61"
"49","9,9","0.71","0.77","1.12","0.14","98.7","83.77"
"50","9,10","0.89","0.76","1.01","0.13","99.32","87.66"
"51","9,11","0.51","0.72","1.02","0.13","98.89","86.36"
"52","9,12","0.53","0.78","1.03","0.14","99.08","87.01"
"53","9,13","0.87","0.7","0.89","0.12","98.57","90.26"
"54","9,14","0.49","0.74","1.01","0.13","99.01","85.06"
"55","9,15","0.8","0.74","1","0.13","98.96","88.96"
"56","10,5","0.54","0.7","0.95","0.12","99.13","88.96"
"57","10,6","0.51","0.72","1.03","0.13","98.96","88.96"
"58","10,7","0.56","0.75","1.07","0.13","99.35","87.01"
"59","10,8","0.45","0.74","1.05","0.13","99.1","89.61"
"60","10,9","0.52","0.73","0.97","0.13","99.26","85.06"
"61","10,10","0.57","0.69","0.93","0.12","99.48","88.31"
"62","10,11","0.73","0.69","0.92","0.12","98.65","86.36"
"63","10,12","0.67","0.64","0.83","0.11","98.59","88.31"
"64","10,13","0.43","0.68","0.91","0.12","99.04","91.56"
"65","10,14","0.49","0.74","1.06","0.13","98.89","87.66"
"66","10,15","0.47","0.73","1.01","0.13","98.92","90.91"
"67","11,5","0.54","0.73","1.03","0.13","99.05","87.01"
"68","11,6","0.36","0.75","1.1","0.13","99.41","89.61"
"69","11,7","0.52","0.65","0.86","0.12","98.85","90.26"
"70","11,8","0.47","0.62","0.89","0.11","98.81","88.31"
"71","11,9","0.58","0.74","1.02","0.13","98.67","88.31"
"72","11,10","0.62","0.68","0.92","0.12","98.65","88.31"
"73","11,11","0.65","0.67","0.94","0.12","98.71","89.61"
"74","11,12","0.44","0.75","1.09","0.13","99.33","89.61"
"75","11,13","0.67","0.7","0.92","0.12","98.74","88.31"
"76","11,14","0.48","0.7","0.95","0.12","99.08","89.61"
"77","11,15","0.59","0.72","0.94","0.13","98.44","90.26"
"78","12,5","0.53","0.69","0.9","0.12","98.78","87.01"
"79","12,6","0.52","0.75","1.03","0.13","98.35","87.66"
"80","12,7","0.58","0.66","0.92","0.12","98.65","90.26"
"81","12,8","0.33","0.83","1.34","0.15","98.03","85.06"
"82","12,9","0.4","0.64","0.87","0.11","99.52","92.21"
"83","12,10","0.43","0.73","1.01","0.13","99.06","86.36"
"84","12,11","0.56","0.71","0.99","0.13","98.99","88.31"
"85","12,12","0.56","0.74","1.03","0.13","98.95","89.61"
"86","12,13","0.57","0.68","0.91","0.12","98.9","90.91"
"87","12,14","0.48","0.7","0.98","0.12","98.95","89.61"
"88","12,15","0.49","0.67","0.94","0.12","99.32","88.31"
"89","13,5","0.28","0.71","1.01","0.13","99.38","89.61"
"90","13,6","0.54","0.73","0.95","0.13","99.06","85.71"
"91","13,7","0.29","0.69","0.93","0.12","99.65","89.61"
"92","13,8","0.47","0.8","1.21","0.14","99.57","87.01"
"93","13,9","0.59","0.71","0.92","0.13","98.69","87.01"
"94","13,10","0.38","0.7","0.96","0.12","99.21","90.91"
"95","13,11","0.48","0.7","0.98","0.12","99.31","90.26"
"96","13,12","0.64","0.71","0.9","0.13","98.54","88.31"
"97","13,13","0.38","0.71","1","0.13","99.41","87.01"
"98","13,14","0.64","0.73","0.98","0.13","98.55","86.36"
"99","13,15","0.62","0.72","0.94","0.13","99.13","88.96"
"100","14,5","0.47","0.69","0.94","0.12","99.05","87.66"
