"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"101","14,6","0.41","0.7","0.98","0.12","99.26","88.31"
"102","14,7","0.47","0.7","1.02","0.12","99.13","89.61"
"103","14,8","0.4","0.69","0.97","0.12","99.34","85.71"
"104","14,9","0.35","0.8","1.5","0.14","99.51","88.96"
"105","14,10","0.39","0.71","0.96","0.13","99.12","90.26"
"106","14,11","0.57","0.72","0.98","0.13","98.39","87.01"
"107","14,12","0.64","0.66","0.88","0.12","98.89","91.56"
"108","14,13","0.41","0.67","0.92","0.12","99.1","87.01"
"109","14,14","0.17","0.73","1.03","0.13","99.42","84.42"
"110","14,15","0.45","0.74","1.07","0.13","99.35","87.01"
"111","15,5","0.43","0.68","0.99","0.12","99.17","87.01"
"112","15,6","0.59","0.76","1.03","0.13","98.54","86.36"
"113","15,7","0.37","0.71","1.02","0.13","99.43","88.96"
"114","15,8","0.31","0.73","1.08","0.13","99.11","86.36"
"115","15,9","0.33","0.72","1.22","0.13","99.65","88.31"
"116","15,10","0.39","0.7","1.06","0.12","99.11","88.96"
"117","15,11","0.48","0.72","1.09","0.13","99.01","87.66"
"118","15,12","0.55","0.77","1.07","0.14","98.95","87.66"
"119","15,13","0.49","0.73","0.98","0.13","99.12","90.91"
"120","15,14","0.59","0.69","0.93","0.12","98.77","90.91"
"121","15,15","0.51","0.68","0.91","0.12","98.82","88.96"
