"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.35","0.87","1.18","0.23","99.64","82.47"
"2","5,6","1.12","0.8","1.08","0.21","99.45","85.06"
"3","5,7","1.24","0.89","1.25","0.23","98.97","82.47"
"4","5,8","1.14","0.77","1.05","0.2","99.56","88.31"
"5","5,9","1.17","0.81","1.11","0.21","98.97","84.42"
"6","5,10","1.14","0.8","1.14","0.21","99.94","85.71"
"7","5,11","1.06","0.85","1.22","0.22","99.36","86.36"
"8","5,12","1.33","0.81","1.08","0.21","99.54","88.96"
"9","5,13","1.11","0.72","0.99","0.19","99.13","88.31"
"10","5,14","1.08","0.8","1.14","0.21","98.7","85.06"
"11","5,15","1.35","0.88","1.22","0.23","99.68","82.47"
"12","6,5","1.32","0.83","1.14","0.22","99.55","79.22"
"13","6,6","1.13","0.71","1.01","0.19","99.38","87.66"
"14","6,7","1.11","0.82","1.18","0.21","99.64","82.47"
"15","6,8","1.06","0.87","1.18","0.23","99.29","85.71"
"16","6,9","0.8","0.68","0.97","0.18","99.5","87.01"
"17","6,10","1.14","0.85","1.2","0.22","99.6","87.01"
"18","6,11","0.83","0.68","0.96","0.18","99.02","88.31"
"19","6,12","0.97","0.78","1.08","0.2","98.45","87.66"
"20","6,13","1.09","0.89","1.29","0.23","99.73","85.71"
"21","6,14","0.96","0.96","1.57","0.25","99.92","83.12"
"22","6,15","1.12","0.76","1.08","0.2","99.35","87.01"
"23","7,5","1.06","0.84","1.15","0.22","99.45","84.42"
"24","7,6","0.88","0.75","1.01","0.2","99.15","87.01"
"25","7,7","1","0.77","1.08","0.2","99.32","90.91"
"26","7,8","0.67","0.83","1.36","0.22","99.87","87.66"
"27","7,9","1.11","0.76","1.02","0.2","98.84","87.66"
"28","7,10","0.88","0.83","1.14","0.22","99.8","85.06"
"29","7,11","0.92","0.83","1.07","0.22","99.34","85.06"
"30","7,12","1.03","0.74","1.05","0.19","99.59","88.31"
"31","7,13","0.92","0.71","1.04","0.18","99.83","90.91"
"32","7,14","1.32","0.86","1.21","0.22","99.7","83.12"
"33","7,15","0.9","0.82","1.19","0.21","99.8","87.01"
"34","8,5","0.62","0.83","1.22","0.22","99.67","87.01"
"35","8,6","0.65","0.8","1.15","0.21","99.85","87.01"
"36","8,7","0.53","0.73","1.08","0.19","99.22","88.31"
"37","8,8","0.72","0.76","1.05","0.2","98.73","87.01"
"38","8,9","0.78","0.81","1.17","0.21","99.37","85.06"
"39","8,10","0.88","0.79","1.09","0.2","99.5","86.36"
"40","8,11","0.63","0.81","1.15","0.21","99.79","87.66"
"41","8,12","0.86","0.78","1.1","0.2","99.66","86.36"
