"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.5","1.17","1.6","0.2","97.75","77.27"
"2","5,6","1.38","1.22","1.8","0.21","98.37","77.92"
"3","5,7","1.47","1.19","1.64","0.21","96.87","76.62"
"4","5,8","1.33","1.25","2.45","0.22","97.32","81.17"
"5","5,9","1.44","1.12","1.59","0.19","96.99","76.62"
"6","5,10","1.24","1.11","1.6","0.19","97.81","79.22"
"7","5,11","3.4","1.59","2.1","0.28","97.23","64.29"
"8","5,12","1.54","1.08","1.52","0.19","97.49","79.87"
"9","5,13","1.54","1.04","1.59","0.18","99.07","82.47"
"10","5,14","1.96","1.07","1.51","0.18","98.07","79.87"
"11","5,15","1.77","1.11","1.57","0.19","97.45","81.17"
"12","6,5","0.97","1.05","1.44","0.18","97.63","81.17"
"13","6,6","1.4","1.09","1.57","0.19","97.53","80.52"
"14","6,7","1.18","1.09","1.5","0.19","98.65","80.52"
"15","6,8","1.09","1.23","1.86","0.21","97.06","79.22"
"16","6,9","1.29","1.19","1.69","0.21","97.89","79.22"
"17","6,10","1.78","1.1","1.57","0.19","96.96","80.52"
"18","6,11","1.34","1.15","1.74","0.2","97.77","82.47"
"19","6,12","1.42","1.12","1.65","0.19","98.01","78.57"
"20","6,13","0.82","1.06","1.62","0.18","98.33","83.77"
"21","6,14","1.22","1.14","1.64","0.2","98.26","79.22"
"22","6,15","1.51","1.11","1.6","0.19","97.44","79.22"
"23","7,5","1.23","1.18","1.66","0.2","98.66","82.47"
"24","7,6","1.26","1.16","1.64","0.2","98.94","77.92"
"25","7,7","1.12","1.07","1.55","0.19","97.89","77.92"
"26","7,8","1.2","1.15","1.61","0.2","98.86","77.92"
"27","7,9","1.07","1.16","1.74","0.2","98.34","80.52"
"28","7,10","0.97","1.34","2.25","0.23","99.12","77.92"
"29","7,11","1.03","1.26","1.66","0.22","99.19","73.38"
"30","7,12","1.34","1.06","1.52","0.18","98.41","81.82"
"31","7,13","1.58","1.09","1.58","0.19","97.83","81.17"
"32","7,14","1.11","1.06","1.56","0.18","99.58","81.17"
"33","7,15","1.2","1.05","1.52","0.18","98.96","79.22"
"34","8,5","1.3","1.16","1.6","0.2","96.89","79.87"
"35","8,6","0.94","1.06","1.54","0.18","98.88","78.57"
"36","8,7","1.05","1.16","1.68","0.2","97.15","79.22"
"37","8,8","1.02","1.12","1.67","0.19","99.97","79.87"
"38","8,9","1.07","1.17","1.78","0.2","97.89","79.87"
"39","8,10","1.05","1.13","1.6","0.2","98.96","81.17"
"40","8,11","0.74","1.06","1.52","0.18","98.59","81.82"
"41","8,12","0.69","1.16","1.75","0.2","99.07","76.62"
"42","8,13","1.28","1.04","1.5","0.18","98.16","81.82"
"43","8,14","0.95","1.04","1.46","0.18","98.17","78.57"
"44","8,15","0.98","1.21","1.77","0.21","98.57","79.22"
"45","9,5","0.88","1.07","1.52","0.19","98.47","80.52"
"46","9,6","0.9","1.01","1.47","0.18","99.29","82.47"
"47","9,7","1.02","1.1","1.54","0.19","97.48","79.22"
"48","9,8","0.69","1.1","1.81","0.19","98.49","79.87"
"49","9,9","0.85","1.15","1.7","0.2","98.16","80.52"
"50","9,10","0.8","1.15","1.68","0.2","98.77","79.22"
"51","9,11","0.76","1.19","1.71","0.21","97.73","77.27"
"52","9,12","0.99","1.24","1.7","0.21","98.63","74.68"
"53","9,13","1.12","1.19","1.79","0.21","97.95","78.57"
"54","9,14","0.86","1.23","1.85","0.21","99.1","79.22"
"55","9,15","0.8","1.2","1.68","0.21","98.1","78.57"
"56","10,5","0.96","1.16","1.71","0.2","98.27","79.22"
"57","10,6","0.59","0.99","1.45","0.17","98.81","78.57"
"58","10,7","0.68","1.19","1.93","0.21","99.78","77.27"
"59","10,8","0.83","1.02","1.49","0.18","99.44","81.17"
"60","10,9","0.87","1.05","1.56","0.18","99.15","83.12"
"61","10,10","0.8","1.12","1.66","0.19","99.78","79.87"
"62","10,11","0.7","1.18","1.65","0.2","98.29","74.03"
"63","10,12","0.79","1.08","1.65","0.19","99.88","81.82"
"64","10,13","0.99","1.22","2.13","0.21","99.45","79.87"
"65","10,14","0.57","1.19","1.81","0.21","99.68","77.92"
"66","10,15","0.92","1.17","1.65","0.2","99.01","77.27"
"67","11,5","0.9","1.1","1.64","0.19","98.69","79.22"
"68","11,6","0.85","1.17","1.65","0.2","98.97","80.52"
"69","11,7","0.75","1.06","1.46","0.18","99.49","82.47"
"70","11,8","1.06","1.18","1.71","0.21","98.44","79.87"
"71","11,9","0.53","1.22","1.69","0.21","99.09","75.32"
"72","11,10","0.9","1.17","1.69","0.2","99.78","80.52"
"73","11,11","0.66","1.1","1.69","0.19","99.13","79.87"
"74","11,12","0.49","1.1","1.65","0.19","99.68","82.47"
"75","11,13","0.61","1.14","1.98","0.2","98.89","80.52"
"76","11,14","0.95","1.1","1.68","0.19","99.19","81.17"
"77","11,15","3.43","1.6","2.1","0.28","97.12","62.99"
"78","12,5","0.62","1.22","1.73","0.21","98.73","79.22"
"79","12,6","3.5","1.62","2.15","0.28","97.35","64.29"
"80","12,7","0.72","1.17","1.78","0.2","98.43","79.87"
"81","12,8","0.68","1.24","1.93","0.21","99.84","75.97"
"82","12,9","0.43","1.34","2.03","0.23","98.44","70.78"
"83","12,10","0.72","1.09","1.69","0.19","98.85","79.22"
"84","12,11","0.34","1.28","2.26","0.22","98.24","75.32"
"85","12,12","0.47","1.25","1.91","0.22","99.21","77.27"
"86","12,13","0.34","1.11","1.67","0.19","98.7","77.92"
"87","12,14","0.58","1.07","1.75","0.19","99.5","82.47"
"88","12,15","0.58","1.07","1.58","0.19","98.93","80.52"
"89","13,5","0.85","1.19","1.75","0.21","98.4","77.27"
"90","13,6","0.54","1.05","1.63","0.18","99.43","83.12"
"91","13,7","0.72","1.18","1.67","0.2","99.21","79.22"
"92","13,8","0.73","1.13","1.69","0.2","99.82","78.57"
"93","13,9","0.65","1.05","1.63","0.18","98.68","83.12"
"94","13,10","0.4","1.32","1.86","0.23","98.92","70.78"
"95","13,11","0.52","1.24","2.02","0.22","98.3","76.62"
"96","13,12","0.37","1.18","1.86","0.2","99.31","76.62"
"97","13,13","0.45","1.12","1.66","0.19","99.32","75.32"
"98","13,14","0.66","1.16","1.66","0.2","98.69","77.92"
"99","13,15","0.72","1.16","1.68","0.2","97.35","77.27"
"100","14,5","0.57","1.15","1.67","0.2","97.98","77.92"
"101","14,6","0.63","1.02","1.54","0.18","98.46","80.52"
"102","14,7","0.68","1.05","1.48","0.18","99.33","79.22"
"103","14,8","0.51","1.19","2.02","0.21","98.04","79.87"
"104","14,9","0.38","1.28","2.09","0.22","99.88","77.27"
"105","14,10","0.44","1.23","1.83","0.21","99.82","76.62"
"106","14,11","0.76","1.04","1.41","0.18","99.83","81.82"
"107","14,12","0.66","1.13","1.6","0.19","98.46","74.03"
"108","14,13","0.47","1.23","1.81","0.21","98.24","76.62"
"109","14,14","0.8","1.2","1.98","0.21","99.87","80.52"
"110","14,15","0.31","1.22","2.2","0.21","99.25","77.27"
"111","15,5","0.62","1.22","1.89","0.21","99.45","77.92"
"112","15,6","0.38","1.23","1.91","0.21","98.75","79.87"
"113","15,7","0.5","1.33","2.03","0.23","99.57","73.38"
"114","15,8","0.54","1.23","1.97","0.21","99.16","75.97"
"115","15,9","0.7","1.1","1.58","0.19","99.03","79.87"
"116","15,10","0.39","1.06","1.62","0.18","99.52","82.47"
"117","15,11","0.71","1","1.52","0.17","99.51","82.47"
"118","15,12","0.38","1.35","2.69","0.23","99.98","79.22"
"119","15,13","0.3","1.48","2.44","0.26","99.55","72.73"
"120","15,14","0.52","1.18","1.76","0.2","99.71","77.92"
"121","15,15","0.5","1.18","1.77","0.2","99.51","73.38"
