"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"1","5,5","1.34","1.53","0.94","1.24","0.24","99.93","77.92","0.9875"
"2","5,6","1.26","1.54","0.91","1.24","0.23","99.85","83.12","0.98"
"3","5,7","1.35","1.42","0.92","1.19","0.23","99.88","80.52","0.94"
"4","5,8","0.94","1.6","0.93","1.26","0.23","99.98","83.12","1.005"
"5","5,9","1.45","1.4","0.9","1.18","0.23","99.8","80.52","0.9275"
"6","5,10","1.16","1.72","0.96","1.31","0.24","99.95","81.17","1.0575"
"7","5,11","1.21","1.43","0.86","1.2","0.22","99.89","85.06","0.9275"
"8","5,12","1.15","1.46","0.94","1.21","0.24","99.74","83.12","0.9625"
"9","5,13","1.02","1.91","1.01","1.38","0.25","99.83","84.42","1.1375"
"10","5,14","1.31","1.4","0.89","1.18","0.22","99.88","85.71","0.9225"
"11","5,15","1.13","1.37","0.86","1.17","0.22","99.96","86.36","0.905"
"12","6,5","1.2","1.5","0.89","1.22","0.22","99.91","85.71","0.9575"
"13","6,6","1.06","1.55","0.92","1.24","0.23","99.32","81.82","0.985"
"14","6,7","0.83","1.65","0.92","1.28","0.23","99.64","83.77","1.02"
"15","6,8","1.06","1.71","0.97","1.31","0.24","99.71","85.06","1.0575"
"16","6,9","0.96","1.51","0.86","1.23","0.22","99.96","86.36","0.955"
"17","6,10","0.92","1.48","0.89","1.22","0.22","99.1","83.12","0.9525"
"18","6,11","0.88","1.41","0.87","1.19","0.22","99.79","85.71","0.9225"
"19","6,12","0.92","1.58","0.91","1.26","0.23","99.34","85.06","0.995"
"20","6,13","0.8","1.34","0.83","1.16","0.21","99.26","87.66","0.885"
"21","6,14","0.91","1.6","0.86","1.27","0.22","99.43","87.66","0.9875"
"22","6,15","0.81","1.93","0.96","1.39","0.24","99.25","82.47","1.13"
"23","7,5","0.94","1.43","0.83","1.2","0.21","99.73","88.31","0.9175"
"24","7,6","0.92","1.17","0.79","1.08","0.2","99.02","86.36","0.81"
"25","7,7","0.96","1.28","0.86","1.13","0.22","99.88","87.66","0.8725"
"26","7,8","0.92","1.46","0.91","1.21","0.23","99.12","83.77","0.9525"
"27","7,9","1.12","1.41","0.88","1.19","0.22","99.96","85.71","0.925"
"28","7,10","0.58","1.58","0.84","1.26","0.21","99.69","88.96","0.9725"
"29","7,11","0.98","1.44","0.91","1.2","0.23","99.98","82.47","0.945"
"30","7,12","0.71","1.62","0.93","1.27","0.23","99.92","83.12","1.0125"
"31","7,13","0.6","1.78","0.96","1.33","0.24","100","84.42","1.0775"
"32","7,14","1.05","1.45","0.85","1.2","0.21","99.51","85.71","0.9275"
"33","7,15","0.95","1.31","0.83","1.15","0.21","99.6","87.01","0.875"
"34","8,5","0.88","1.28","0.83","1.13","0.21","99.25","86.36","0.8625"
"35","8,6","0.87","1.28","0.85","1.13","0.21","99.22","86.36","0.8675"
"36","8,7","0.67","1.46","0.88","1.21","0.22","98.98","87.66","0.9425"
