"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"37","8,8","0.82","1.42","0.86","1.19","0.22","99.71","84.42","0.9225"
"38","8,9","0.77","1.75","0.97","1.32","0.24","99.62","85.06","1.07"
"39","8,10","1.05","1.22","0.81","1.1","0.2","99.41","85.06","0.8325"
"40","8,11","0.84","1.28","0.82","1.13","0.21","98.72","86.36","0.86"
"41","8,12","0.87","1.43","0.86","1.2","0.22","99.88","85.06","0.9275"
"42","8,13","0.72","1.61","0.86","1.27","0.22","99","87.66","0.99"
"43","8,14","0.85","1.17","0.82","1.08","0.21","99.85","88.31","0.82"
"44","8,15","0.62","2.1","0.95","1.45","0.24","99.97","83.77","1.185"
"45","9,5","0.77","1.25","0.81","1.12","0.2","99.18","85.06","0.845"
"46","9,6","0.78","1.1","0.79","1.05","0.2","99.9","86.36","0.785"
"47","9,7","0.56","1.47","0.87","1.21","0.22","99.7","87.66","0.9425"
"48","9,8","0.86","1.42","0.84","1.19","0.21","99.6","85.06","0.915"
"49","9,9","0.88","1.66","0.88","1.29","0.22","99.62","86.36","1.0125"
"50","9,10","0.6","2.01","0.95","1.42","0.24","99.78","85.06","1.155"
"51","9,11","0.58","2.04","0.95","1.43","0.24","99.29","83.12","1.165"
"52","9,12","0.8","1.5","0.84","1.23","0.21","99.68","88.31","0.945"
"53","9,13","0.77","1.19","0.74","1.09","0.19","99.86","92.86","0.8025"
"54","9,14","0.46","2.3","1.06","1.52","0.27","98.41","79.22","1.2875"
"55","9,15","0.5","1.07","0.75","1.03","0.19","99.63","91.56","0.76"
"56","10,5","0.77","1.49","0.86","1.22","0.22","99.81","90.91","0.9475"
"57","10,6","0.58","1.62","0.91","1.27","0.23","99.62","84.42","1.0075"
"58","10,7","0.51","1.9","0.91","1.38","0.23","99.49","86.36","1.105"
"59","10,8","0.68","1.45","0.89","1.2","0.22","99.83","83.77","0.94"
"60","10,9","0.71","1.92","1.01","1.39","0.25","99.1","81.82","1.1425"
"61","10,10","0.45","1.55","0.85","1.25","0.21","99.98","87.66","0.965"
"62","10,11","0.68","1.27","0.85","1.13","0.21","99.5","82.47","0.865"
"63","10,12","0.62","1.67","0.87","1.29","0.22","99.53","83.77","1.0125"
"64","10,13","0.85","1.46","0.84","1.21","0.21","99.26","85.06","0.93"
"65","10,14","0.42","1.78","0.91","1.33","0.23","99.65","85.71","1.0625"
"66","10,15","0.95","1.12","0.79","1.06","0.2","99.66","88.31","0.7925"
"67","11,5","0.88","1.45","0.88","1.2","0.22","99.67","81.17","0.9375"
"68","11,6","0.71","1.33","0.86","1.15","0.22","99.44","84.42","0.89"
"69","11,7","0.65","1.36","0.88","1.17","0.22","99.49","86.36","0.9075"
"70","11,8","0.72","1.19","0.8","1.09","0.2","99.9","88.31","0.82"
"71","11,9","0.76","1.25","0.83","1.12","0.21","99.83","87.66","0.8525"
"72","11,10","0.79","1.58","0.85","1.26","0.21","99.67","88.96","0.975"
"73","11,11","0.61","1.35","0.86","1.16","0.22","99.81","87.01","0.8975"
"74","11,12","0.44","1.89","0.95","1.37","0.24","99.61","83.77","1.1125"
"75","11,13","0.57","1.45","0.83","1.2","0.21","99.89","84.42","0.9225"
"76","11,14","0.8","1.18","0.84","1.09","0.21","99.22","85.71","0.83"
"77","11,15","0.51","1.56","0.89","1.25","0.22","99.87","88.31","0.98"
"78","12,5","0.56","1.54","0.86","1.24","0.22","99.67","85.71","0.965"
"79","12,6","0.52","1.7","0.94","1.3","0.24","99.38","83.12","1.045"
"80","12,7","0.66","1.29","0.82","1.13","0.2","98.52","87.66","0.86"
"81","12,8","0.62","1.48","0.83","1.21","0.21","99.63","85.71","0.9325"
"82","12,9","0.74","1.1","0.75","1.05","0.19","99.71","88.96","0.7725"
"83","12,10","0.76","1.29","0.82","1.14","0.21","99.89","88.31","0.865"
"84","12,11","0.56","1.47","0.92","1.21","0.23","99.07","80.52","0.9575"
"85","12,12","0.66","1.51","0.89","1.23","0.22","99.64","85.71","0.9625"
"86","12,13","0.4","1.48","0.85","1.22","0.21","99.82","84.42","0.94"
"87","12,14","0.77","1.46","0.81","1.21","0.2","99.68","88.96","0.92"
"88","12,15","0.68","1.3","0.81","1.14","0.2","98.95","86.36","0.8625"
"89","13,5","0.77","1.22","0.83","1.1","0.21","98.94","86.36","0.84"
"90","13,6","0.54","1.56","0.85","1.25","0.21","99.6","88.31","0.9675"
"91","13,7","0.54","1.48","0.84","1.22","0.21","99.35","86.36","0.9375"
"92","13,8","0.46","1.47","0.76","1.21","0.19","99.51","87.66","0.9075"
"93","13,9","0.58","1.9","0.9","1.38","0.23","99.67","86.36","1.1025"
"94","13,10","0.69","1.13","0.8","1.06","0.2","99.41","88.96","0.7975"
"95","13,11","0.48","1.55","0.9","1.25","0.22","99.58","81.17","0.98"
"96","13,12","0.56","1.38","0.8","1.18","0.2","99.43","88.96","0.89"
"97","13,13","0.57","1.42","0.8","1.19","0.2","99.54","88.96","0.9025"
"98","13,14","0.41","1.3","0.84","1.14","0.21","99.84","85.06","0.8725"
"99","13,15","0.62","1.21","0.81","1.1","0.2","100","89.61","0.83"
"100","14,5","0.58","1.21","0.8","1.1","0.2","99.11","90.26","0.8275"
"101","14,6","0.52","1.18","0.77","1.09","0.19","99.89","88.96","0.8075"
"102","14,7","0.52","1.92","0.95","1.39","0.24","99.2","81.17","1.125"
"103","14,8","0.6","1.51","0.89","1.23","0.22","99.99","87.66","0.9625"
"104","14,9","0.27","3.32","1.03","1.82","0.26","99.56","79.22","1.6075"
"105","14,10","0.37","2.25","0.83","1.5","0.21","97.64","88.31","1.1975"
"106","14,11","0.65","1.26","0.82","1.12","0.21","99.06","82.47","0.8525"
"107","14,12","0.36","1.55","0.84","1.25","0.21","99.59","83.12","0.9625"
"108","14,13","0.41","1.3","0.79","1.14","0.2","99.19","88.96","0.8575"
"109","14,14","0.39","1.76","0.89","1.33","0.22","99.6","85.06","1.05"
"110","14,15","0.49","2.02","0.9","1.42","0.23","99.11","85.06","1.1425"
"111","15,5","0.77","1.13","0.8","1.06","0.2","99.95","89.61","0.7975"
"112","15,6","0.64","1.46","0.85","1.21","0.21","99.33","87.01","0.9325"
"113","15,7","0.42","2.04","0.98","1.43","0.25","99.9","83.77","1.175"
"114","15,8","0.25","2.14","0.94","1.46","0.24","98.78","82.47","1.195"
"115","15,9","0.37","1.26","0.81","1.12","0.2","99.02","88.31","0.8475"
"116","15,10","0.43","1.82","0.98","1.35","0.25","98.58","82.47","1.1"
"117","15,11","0.44","1.67","0.92","1.29","0.23","99.15","81.17","1.0275"
"118","15,12","0.83","1.22","0.8","1.11","0.2","99.69","88.31","0.8325"
"119","15,13","0.52","1.33","0.82","1.15","0.21","99.38","86.36","0.8775"
"120","15,14","0.22","1.97","0.96","1.4","0.24","99.81","79.87","1.1425"
"121","15,15","0.62","1.24","0.82","1.11","0.21","99.73","86.36","0.845"
