"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.09","0.91","1.27","0.25","99","79.87"
"2","5,6","1.4","1","1.35","0.27","99.28","75.32"
"3","5,7","1.27","0.88","1.18","0.24","98.66","80.52"
"4","5,8","1.03","0.87","1.18","0.24","99.44","79.87"
"5","5,9","1.19","0.83","1.13","0.23","99.12","83.77"
"6","5,10","1.06","0.89","1.22","0.24","99.36","78.57"
"7","5,11","1.49","1.05","1.38","0.29","99.27","71.43"
"8","5,12","1.34","1.03","1.36","0.28","98.62","74.68"
"9","5,13","1.31","0.97","1.29","0.26","98.59","72.08"
"10","5,14","1.23","0.94","1.21","0.26","99.14","78.57"
"11","5,15","1.19","0.93","1.26","0.25","99.54","76.62"
"12","6,5","1.06","0.93","1.24","0.25","98.78","80.52"
"13","6,6","1.37","0.97","1.28","0.26","98.86","74.68"
"14","6,7","1.43","1.08","1.41","0.29","98.89","70.13"
"15","6,8","1.26","0.98","1.25","0.27","99.25","74.03"
"16","6,9","1.13","0.94","1.29","0.26","99.69","79.87"
"17","6,10","4.11","1.5","1.95","0.41","98.27","61.69"
"18","6,11","0.74","0.83","1.13","0.23","99.24","81.17"
"19","6,12","1.26","0.85","1.13","0.23","99.33","87.01"
"20","6,13","1.1","0.9","1.23","0.24","99.63","82.47"
"21","6,14","0.92","0.91","1.23","0.25","99.59","81.17"
"22","6,15","1.41","1.03","1.33","0.28","99.09","70.13"
"23","7,5","1.11","0.92","1.22","0.25","98.97","81.17"
"24","7,6","1.09","0.93","1.23","0.25","98.72","79.22"
"25","7,7","1.06","0.96","1.28","0.26","99.33","79.22"
"26","7,8","1.31","0.96","1.27","0.26","99.03","75.97"
"27","7,9","0.65","0.75","1","0.2","99.95","87.66"
"28","7,10","0.72","0.87","1.16","0.24","99.51","81.17"
"29","7,11","1.05","0.9","1.17","0.25","99.51","79.87"
"30","7,12","0.84","0.78","1.06","0.21","99.48","84.42"
"31","7,13","1.13","0.92","1.2","0.25","99.2","79.87"
"32","7,14","1.03","1","1.29","0.27","98.97","73.38"
"33","7,15","1.21","1.02","1.34","0.28","99.29","76.62"
"34","8,5","0.62","1","1.6","0.27","99.35","79.87"
"35","8,6","0.62","0.83","1.2","0.23","98.03","81.17"
"36","8,7","0.79","0.86","1.15","0.23","99.58","83.12"
"37","8,8","0.82","0.84","1.08","0.23","99.66","81.82"
"38","8,9","0.76","0.88","1.3","0.24","99.48","80.52"
"39","8,10","0.64","0.95","1.27","0.26","98.89","77.92"
"40","8,11","0.96","0.93","1.24","0.25","99.15","77.92"
"41","8,12","1.08","0.95","1.28","0.26","99.43","77.27"
"42","8,13","1.2","0.95","1.24","0.26","99.19","79.22"
"43","8,14","0.85","0.9","1.25","0.24","99.85","77.27"
"44","8,15","0.86","0.89","1.22","0.24","99.66","77.92"
"45","9,5","0.67","0.91","1.28","0.25","99.15","78.57"
"46","9,6","0.73","0.88","1.15","0.24","99.66","79.87"
"47","9,7","0.72","0.84","1.13","0.23","98.99","79.22"
"48","9,8","0.68","0.85","1.18","0.23","99.67","83.77"
"49","9,9","0.77","0.92","1.23","0.25","99.32","79.22"
"50","9,10","0.74","0.86","1.2","0.23","100","82.47"
"51","9,11","0.87","0.9","1.21","0.24","99.01","77.92"
"52","9,12","0.77","0.95","1.42","0.26","99.37","76.62"
"53","9,13","0.71","0.89","1.21","0.24","98.34","77.27"
"54","9,14","0.78","0.8","1.15","0.22","99.46","85.06"
"55","9,15","0.9","0.96","1.27","0.26","99.68","79.22"
"56","10,5","0.85","0.83","1.11","0.23","99.55","85.06"
"57","10,6","0.52","0.98","1.41","0.27","98.55","79.87"
"58","10,7","0.95","0.86","1.16","0.24","99.32","82.47"
"59","10,8","0.66","0.91","1.25","0.25","99.74","81.82"
"60","10,9","0.49","0.89","1.23","0.24","99.65","82.47"
"61","10,10","0.57","0.82","1.14","0.22","99","83.12"
"62","10,11","0.71","0.83","1.14","0.23","99.98","85.71"
"63","10,12","0.65","0.9","1.22","0.24","99.44","81.17"
"64","10,13","0.39","0.91","1.32","0.25","99.19","81.82"
"65","10,14","0.32","0.85","1.4","0.23","99.57","85.06"
"66","10,15","0.62","0.82","1.18","0.22","99.29","84.42"
"67","11,5","0.36","0.93","1.37","0.25","99.97","77.92"
"68","11,6","0.54","0.83","1.18","0.23","99.9","84.42"
"69","11,7","0.85","0.84","1.15","0.23","99.3","84.42"
"70","11,8","0.97","0.86","1.15","0.23","99.54","78.57"
"71","11,9","0.69","0.9","1.17","0.24","99.89","79.22"
"72","11,10","0.45","0.87","1.25","0.24","99.51","84.42"
"73","11,11","0.63","0.86","1.2","0.24","99.84","84.42"
"74","11,12","0.54","1","2.29","0.27","98.66","82.47"
"75","11,13","0.91","0.89","1.19","0.24","99.57","79.87"
"76","11,14","0.8","0.86","1.18","0.23","98.73","83.77"
"77","11,15","0.98","0.89","1.21","0.24","99.37","78.57"
"78","12,5","0.56","0.83","1.08","0.23","99.79","81.17"
"79","12,6","0.42","0.84","1.17","0.23","99.48","83.12"
"80","12,7","0.47","0.84","1.13","0.23","99.95","84.42"
"81","12,8","0.56","0.84","1.11","0.23","99.63","85.06"
"82","12,9","0.5","0.84","1.15","0.23","99.65","82.47"
"83","12,10","0.56","0.88","1.17","0.24","99.98","83.12"
"84","12,11","0.5","0.95","1.33","0.26","99.88","77.92"
"85","12,12","0.69","0.88","1.22","0.24","99.85","79.87"
"86","12,13","0.87","0.9","1.2","0.24","99.5","77.92"
"87","12,14","0.6","0.94","1.35","0.26","99.91","81.82"
"88","12,15","0.61","0.9","1.29","0.24","99.12","79.87"
"89","13,5","0.56","0.82","1.11","0.22","99.93","85.06"
