"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"90","13,6","0.67","0.91","1.26","0.25","99.08","77.92"
"91","13,7","0.58","0.82","1.16","0.22","99.93","85.71"
"92","13,8","0.62","0.82","1.15","0.22","99.16","81.82"
"93","13,9","0.71","0.86","1.17","0.23","99.16","79.87"
"94","13,10","0.37","1.25","5.39","0.34","97.62","83.77"
"95","13,11","0.54","0.91","1.26","0.25","99.86","79.22"
"96","13,12","0.92","0.92","1.22","0.25","99.26","77.27"
"97","13,13","0.43","0.92","1.29","0.25","99.64","82.47"
"98","13,14","0.52","0.82","1.24","0.22","99.99","80.52"
"99","13,15","0.26","1.13","1.99","0.31","98.69","76.62"
"100","14,5","0.64","0.83","1.11","0.22","98.88","85.71"
"101","14,6","0.4","0.93","1.52","0.25","99.58","81.17"
"102","14,7","0.32","0.91","1.34","0.25","99.46","82.47"
"103","14,8","0.53","0.93","1.24","0.25","99.37","79.22"
"104","14,9","0.4","1.02","1.57","0.28","99.2","77.27"
"105","14,10","0.36","0.92","1.25","0.25","99.28","76.62"
"106","14,11","0.42","0.78","1.29","0.21","99.1","82.47"
"107","14,12","0.76","0.8","1.1","0.22","99.61","83.12"
"108","14,13","0.52","0.84","1.16","0.23","99.33","79.87"
"109","14,14","0.35","0.99","1.55","0.27","99.16","78.57"
"110","14,15","0.83","0.9","1.23","0.24","99.25","79.87"
"111","15,5","0.35","0.98","1.5","0.27","98.95","81.82"
"112","15,6","0.55","0.84","1.16","0.23","99.28","84.42"
"113","15,7","0.4","0.91","1.28","0.25","99.46","80.52"
"114","15,8","0.29","1","1.42","0.27","99.78","78.57"
"115","15,9","0.53","0.81","1.07","0.22","98.79","82.47"
"116","15,10","0.66","0.86","1.15","0.23","99.41","85.06"
"117","15,11","0.64","0.89","1.19","0.24","98.8","78.57"
"118","15,12","0.38","0.88","1.25","0.24","99.72","80.52"
"119","15,13","0.39","0.8","1.11","0.22","99.19","83.12"
"120","15,14","0.29","0.91","1.26","0.25","99.99","77.27"
"121","15,15","0.46","0.86","1.19","0.23","99.65","83.12"
