"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"32","7,14","0.89","1.44","0.9","1.2","0.21","99.59","80.52","0.9375"
"33","7,15","0.89","1.96","0.94","1.4","0.22","99.9","83.12","1.13"
"34","8,5","0.76","1.4","0.88","1.18","0.21","99.37","85.71","0.9175"
"35","8,6","0.95","1.32","0.86","1.15","0.2","99.83","85.06","0.8825"
"36","8,7","0.66","1.64","0.91","1.28","0.21","99.23","86.36","1.01"
"37","8,8","0.65","1.42","0.87","1.19","0.21","99.83","84.42","0.9225"
"38","8,9","0.55","1.56","0.9","1.25","0.21","99.99","84.42","0.98"
"39","8,10","0.75","1.6","0.9","1.26","0.21","99.64","86.36","0.9925"
"40","8,11","0.8","1.51","0.89","1.23","0.21","99.35","82.47","0.96"
"41","8,12","0.79","1.73","0.91","1.32","0.22","99.51","85.71","1.045"
"42","8,13","0.76","1.61","0.86","1.27","0.2","99.58","86.36","0.985"
"43","8,14","0.93","1.4","0.87","1.18","0.21","99.85","87.01","0.915"
"44","8,15","0.7","1.55","0.9","1.24","0.21","99.98","86.36","0.975"
"45","9,5","0.52","1.58","0.86","1.26","0.2","99.94","86.36","0.975"
"46","9,6","0.55","1.56","0.84","1.25","0.2","99.38","87.66","0.9625"
"47","9,7","0.64","1.26","0.81","1.12","0.19","99.95","87.01","0.845"
"48","9,8","0.81","1.45","0.85","1.21","0.2","99.78","86.36","0.9275"
"49","9,9","0.69","1.08","0.76","1.04","0.18","99.72","90.91","0.765"
"50","9,10","0.65","1.65","0.91","1.29","0.21","99.88","85.71","1.015"
"51","9,11","0.69","1.4","0.86","1.18","0.2","99.86","83.77","0.91"
"52","9,12","0.65","1.44","0.84","1.2","0.2","99.76","82.47","0.92"
"53","9,13","0.93","1.38","0.81","1.17","0.19","99.91","87.01","0.8875"
"54","9,14","1.06","1.55","0.92","1.25","0.22","99.69","83.12","0.985"
"55","9,15","0.88","1.56","0.89","1.25","0.21","99.3","81.82","0.9775"
"56","10,5","0.45","1.85","0.82","1.36","0.19","99.27","87.01","1.055"
"57","10,6","0.8","1.77","0.96","1.33","0.23","99.45","83.77","1.0725"
"58","10,7","0.51","1.38","0.8","1.17","0.19","99.63","84.42","0.885"
"59","10,8","0.65","1.33","0.81","1.15","0.19","99.78","88.96","0.87"
"60","10,9","0.41","1.8","0.89","1.34","0.21","98.9","83.77","1.06"
"61","10,10","0.5","1.69","0.88","1.3","0.21","99.67","83.77","1.02"
"62","10,11","0.88","1.59","0.86","1.26","0.2","99.97","87.66","0.9775"
"63","10,12","0.58","1.31","0.8","1.14","0.19","99.23","90.26","0.86"
"64","10,13","0.64","1.43","0.86","1.19","0.2","99.3","87.01","0.92"
"65","10,14","0.59","1.43","0.83","1.2","0.2","99.18","87.01","0.915"
"66","10,15","0.77","1.23","0.81","1.11","0.19","99.83","85.71","0.835"
"67","11,5","0.69","1.33","0.85","1.15","0.2","99.97","87.66","0.8825"
"68","11,6","0.64","1.33","0.82","1.15","0.19","98.89","87.66","0.8725"
"69","11,7","0.73","1.47","0.88","1.21","0.21","99.59","81.82","0.9425"
"70","11,8","0.45","1.99","0.92","1.41","0.22","99.58","85.06","1.135"
"71","11,9","0.53","1.55","0.84","1.24","0.2","99.69","83.77","0.9575"
"72","11,10","0.62","1.74","0.88","1.32","0.21","99.69","85.06","1.0375"
"73","11,11","0.57","1.61","0.84","1.27","0.2","99.47","85.06","0.98"
"74","11,12","0.73","1.59","0.9","1.26","0.21","99.93","87.01","0.99"
"75","11,13","0.51","1.26","0.85","1.12","0.2","99.78","88.96","0.8575"
"76","11,14","0.45","1.76","0.93","1.33","0.22","99.32","81.82","1.06"
"77","11,15","0.84","1.68","0.93","1.29","0.22","99.44","87.01","1.03"
"78","12,5","0.46","2.18","0.98","1.48","0.23","99.6","85.06","1.2175"
"79","12,6","0.59","1.64","0.93","1.28","0.22","99.4","79.87","1.0175"
"80","12,7","0.57","1.29","0.81","1.13","0.19","99.87","88.96","0.855"
"81","12,8","0.44","1.42","0.89","1.19","0.21","98.83","85.71","0.9275"
"82","12,9","0.41","1.75","0.92","1.32","0.22","99.98","88.31","1.0525"
"83","12,10","0.58","1.36","0.8","1.17","0.19","99.65","85.06","0.88"
"84","12,11","0.44","1.54","0.9","1.24","0.21","99.65","84.42","0.9725"
"85","12,12","0.55","1.53","0.85","1.24","0.2","99.17","86.36","0.955"
"86","12,13","0.41","1.18","0.81","1.09","0.19","99.81","88.96","0.8175"
"87","12,14","0.61","1.41","0.85","1.19","0.2","99.92","86.36","0.9125"
"88","12,15","0.55","1.37","0.84","1.17","0.2","99.71","87.01","0.895"
"89","13,5","0.74","1.39","0.83","1.18","0.2","99.51","87.01","0.9"
"90","13,6","0.52","1.59","0.92","1.26","0.22","99.85","88.96","0.9975"
"91","13,7","0.33","1.6","0.91","1.27","0.21","99.23","83.77","0.9975"
"92","13,8","0.45","1.44","0.82","1.2","0.19","99.3","86.36","0.9125"
"93","13,9","0.32","1.78","0.85","1.34","0.2","99.3","85.06","1.0425"
"94","13,10","0.41","1.22","0.79","1.1","0.19","99.66","87.01","0.825"
"95","13,11","0.95","1.48","0.89","1.22","0.21","99.49","84.42","0.95"
"96","13,12","0.58","1.53","0.85","1.24","0.2","99.76","87.01","0.955"
"97","13,13","0.83","1.46","0.86","1.21","0.2","99.86","87.01","0.9325"
"98","13,14","0.53","1.48","0.83","1.22","0.2","99.72","85.71","0.9325"
"99","13,15","0.38","1.67","0.9","1.29","0.21","99.44","83.77","1.0175"
"100","14,5","0.63","1.3","0.8","1.14","0.19","99.69","89.61","0.8575"
"101","14,6","0.71","1.33","0.81","1.15","0.19","99.38","88.96","0.87"
"102","14,7","0.43","1.33","0.81","1.15","0.19","99.74","84.42","0.87"
"103","14,8","0.56","1.52","0.87","1.23","0.21","99.53","83.77","0.9575"
"104","14,9","0.38","1.69","0.82","1.3","0.2","99.3","83.77","1.0025"
"105","14,10","0.3","1.74","0.93","1.32","0.22","99.97","84.42","1.0525"
"106","14,11","0.48","1.39","0.84","1.18","0.2","99.82","89.61","0.9025"
"107","14,12","0.48","1.68","0.85","1.3","0.2","99.75","86.36","1.0075"
"108","14,13","0.61","1.57","0.87","1.25","0.21","99.94","83.12","0.975"
"109","14,14","0.66","1.62","0.89","1.27","0.21","99.83","85.06","0.9975"
"110","14,15","0.64","1.43","0.83","1.2","0.2","99.69","84.42","0.915"
"111","15,5","0.37","1.66","0.89","1.29","0.21","99.41","83.77","1.0125"
"112","15,6","0.42","1.71","0.85","1.31","0.2","99.71","87.01","1.0175"
"113","15,7","0.51","1.59","0.85","1.26","0.2","99.22","86.36","0.975"
"114","15,8","0.31","1.25","0.78","1.12","0.18","99.75","86.36","0.8325"
"115","15,9","0.29","1.68","0.87","1.29","0.21","99.7","87.01","1.0125"
"116","15,10","0.28","1.83","0.91","1.35","0.22","99.4","82.47","1.0775"
"117","15,11","0.59","1.44","0.83","1.2","0.2","99.33","86.36","0.9175"
"118","15,12","0.63","1.47","0.85","1.21","0.2","99.7","85.06","0.9325"
"119","15,13","0.5","1.61","0.9","1.27","0.21","99.93","85.71","0.9975"
"120","15,14","0.52","1.25","0.81","1.12","0.19","99.81","87.66","0.8425"
"121","15,15","0.54","1.27","0.84","1.13","0.2","99.6","87.01","0.86"
