"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"1","5,5","1.02","1.42","0.9","1.19","0.21","99.06","82.47","0.93"
"2","5,6","1.11","1.59","0.9","1.26","0.21","99.81","82.47","0.99"
"3","5,7","1.17","1.37","0.84","1.17","0.2","100","86.36","0.895"
"4","5,8","0.96","1.43","0.89","1.2","0.21","99.51","84.42","0.9325"
"5","5,9","0.93","1.55","0.86","1.25","0.2","98.98","86.36","0.965"
"6","5,10","1.02","1.85","0.9","1.36","0.21","99.35","85.06","1.08"
"7","5,11","1","1.13","0.78","1.06","0.18","99.93","88.96","0.7875"
"8","5,12","0.91","1.51","0.92","1.23","0.22","99.38","83.77","0.97"
"9","5,13","1.06","1.38","0.88","1.18","0.21","99.15","83.77","0.9125"
"10","5,14","1.52","2.23","1.08","1.49","0.26","99.29","77.27","1.265"
"11","5,15","1.04","1.57","0.89","1.25","0.21","99.51","82.47","0.98"
"12","6,5","1.07","1.29","0.87","1.14","0.21","99.45","83.77","0.8775"
"13","6,6","0.89","1.36","0.85","1.17","0.2","99.93","87.01","0.895"
"14","6,7","0.91","1.61","0.87","1.27","0.21","99.61","85.71","0.99"
"15","6,8","1.12","1.75","0.96","1.32","0.23","99.05","83.12","1.065"
"16","6,9","0.85","1.85","0.94","1.36","0.22","99.23","85.06","1.0925"
"17","6,10","0.96","1.47","0.87","1.21","0.21","99.16","84.42","0.94"
"18","6,11","0.93","1.71","0.96","1.31","0.23","99.44","81.17","1.0525"
"19","6,12","0.97","1.53","0.9","1.24","0.21","99.6","87.01","0.97"
"20","6,13","0.85","1.46","0.86","1.21","0.2","99.86","82.47","0.9325"
"21","6,14","0.94","1.25","0.85","1.12","0.2","99.76","86.36","0.855"
"22","6,15","0.87","1.62","0.93","1.27","0.22","98.96","83.12","1.01"
"23","7,5","0.79","1.47","0.86","1.21","0.2","99.67","82.47","0.935"
"24","7,6","0.79","1.53","0.88","1.24","0.21","99.82","85.71","0.965"
"25","7,7","0.72","1.6","0.86","1.27","0.2","99.64","83.12","0.9825"
"26","7,8","0.83","1.53","0.88","1.24","0.21","99.19","86.36","0.965"
"27","7,9","0.85","1.49","0.89","1.22","0.21","99.6","84.42","0.9525"
"28","7,10","0.84","1.63","0.89","1.28","0.21","99.45","85.06","1.0025"
"29","7,11","0.9","1.54","0.88","1.24","0.21","99.62","85.06","0.9675"
"30","7,12","0.92","1.62","0.91","1.27","0.21","99.88","82.47","1.0025"
"31","7,13","0.97","1.47","0.88","1.21","0.21","99.82","89.61","0.9425"
