"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","1.2","1.04","1.4","0.19","98.41","75.97"
"2","5,6","1.22","1.09","1.43","0.2","99.45","75.97"
"3","5,7","1.26","1.08","1.42","0.2","98.8","74.68"
"4","5,8","1.09","0.95","1.3","0.17","98.5","78.57"
"5","5,9","1.37","1.1","1.44","0.2","98.68","74.03"
"6","5,10","1.27","1.06","1.39","0.19","99.32","79.22"
"7","5,11","1.36","1.12","1.54","0.2","97.83","74.03"
"8","5,12","1.07","1.08","1.45","0.2","99","77.92"
"9","5,13","1.11","1.02","1.36","0.19","98.62","79.22"
"10","5,14","1.07","0.98","1.29","0.18","99.32","74.03"
"11","5,15","1.35","1.08","1.41","0.2","99.06","74.03"
"12","6,5","0.97","1.02","1.4","0.18","98.89","80.52"
"13","6,6","0.94","1.01","1.37","0.18","98.17","80.52"
"14","6,7","1.2","0.96","1.3","0.17","98.5","82.47"
"15","6,8","0.96","0.97","1.31","0.18","98.94","81.17"
"16","6,9","1.32","1.04","1.37","0.19","98.57","79.87"
"17","6,10","1.06","1.03","1.43","0.19","98.94","76.62"
"18","6,11","1.05","1.03","1.38","0.19","97.95","78.57"
"19","6,12","1.02","1","1.41","0.18","98.72","75.97"
"20","6,13","1.21","1.05","1.45","0.19","98.62","78.57"
"21","6,14","1.01","1.04","1.36","0.19","99.22","77.92"
"22","6,15","0.99","0.99","1.36","0.18","98.41","79.87"
"23","7,5","0.88","0.9","1.26","0.16","98.36","81.17"
"24","7,6","1.07","0.98","1.38","0.18","99.03","78.57"
"25","7,7","0.79","0.93","1.37","0.17","98.3","75.97"
"26","7,8","1.13","0.96","1.29","0.17","99.23","79.87"
"27","7,9","1.01","0.95","1.3","0.17","98.3","77.27"
"28","7,10","0.91","0.88","1.2","0.16","98.28","81.82"
"29","7,11","1.01","0.93","1.23","0.17","98.86","79.87"
"30","7,12","0.78","0.98","1.34","0.18","99.07","79.87"
"31","7,13","0.93","0.94","1.29","0.17","98.79","79.87"
"32","7,14","1","0.98","1.33","0.18","98.43","83.77"
"33","7,15","1.06","0.98","1.31","0.18","99.28","80.52"
"34","8,5","0.86","1.03","1.32","0.19","98.28","77.27"
"35","8,6","0.98","0.98","1.3","0.18","99.05","77.92"
"36","8,7","0.78","0.96","1.24","0.17","98.74","77.92"
"37","8,8","1","0.95","1.35","0.17","98.17","81.17"
"38","8,9","1.08","0.95","1.29","0.17","98.88","80.52"
"39","8,10","0.69","0.91","1.19","0.16","98.65","83.12"
"40","8,11","0.96","0.94","1.29","0.17","98.67","83.12"
"41","8,12","1.08","0.94","1.29","0.17","98.94","77.27"
"42","8,13","0.93","0.98","1.29","0.18","98.75","79.87"
"43","8,14","0.77","0.98","1.31","0.18","98.89","77.92"
"44","8,15","0.68","0.89","1.16","0.16","98.32","81.17"
"45","9,5","0.77","0.92","1.25","0.17","98.18","83.77"
"46","9,6","0.83","0.84","1.16","0.15","98.59","83.77"
"47","9,7","0.73","0.98","1.39","0.18","98.89","79.22"
"48","9,8","0.73","0.92","1.25","0.17","99.1","81.82"
"49","9,9","0.61","0.97","1.32","0.18","99.49","80.52"
"50","9,10","0.89","0.87","1.2","0.16","98.4","84.42"
"51","9,11","0.74","0.86","1.15","0.16","99.01","85.71"
"52","9,12","0.59","1.08","1.47","0.2","99.36","75.97"
"53","9,13","0.75","0.88","1.2","0.16","98.95","79.87"
"54","9,14","0.74","0.86","1.18","0.16","98.3","85.06"
"55","9,15","0.63","0.97","1.27","0.18","99.26","81.82"
"56","10,5","0.62","0.89","1.23","0.16","98.48","82.47"
"57","10,6","0.64","0.9","1.23","0.16","98.12","82.47"
"58","10,7","0.74","0.85","1.14","0.15","98.82","81.82"
"59","10,8","0.61","0.9","1.21","0.16","98.96","83.12"
"60","10,9","0.72","0.94","1.25","0.17","99.01","79.87"
"61","10,10","0.59","0.98","1.32","0.18","99.73","78.57"
"62","10,11","0.83","0.9","1.25","0.16","99.35","79.87"
"63","10,12","0.67","0.9","1.24","0.16","98.02","82.47"
"64","10,13","0.49","0.87","1.27","0.16","99.06","80.52"
"65","10,14","0.64","0.93","1.28","0.17","98.66","81.82"
"66","10,15","0.72","0.96","1.3","0.17","98.95","81.17"
"67","11,5","0.76","0.83","1.13","0.15","98.83","80.52"
"68","11,6","0.59","0.89","1.25","0.16","98.68","81.17"
"69","11,7","0.57","0.81","1.14","0.15","98.64","84.42"
"70","11,8","0.6","0.9","1.2","0.16","98.22","85.71"
"71","11,9","0.67","0.92","1.23","0.17","98.7","81.82"
"72","11,10","0.46","0.94","1.27","0.17","99","81.82"
"73","11,11","0.78","0.92","1.24","0.17","98.32","79.22"
"74","11,12","0.52","0.95","1.32","0.17","99.06","80.52"
"75","11,13","0.79","0.91","1.26","0.16","98.56","83.12"
"76","11,14","0.64","0.93","1.25","0.17","98.72","79.87"
"77","11,15","0.83","0.88","1.2","0.16","98.8","84.42"
"78","12,5","0.65","0.94","1.3","0.17","98.51","82.47"
"79","12,6","0.56","0.85","1.16","0.15","98.52","84.42"
"80","12,7","0.64","0.84","1.17","0.15","98.06","81.82"
"81","12,8","0.66","0.94","1.27","0.17","98.17","77.92"
"82","12,9","0.52","0.93","1.27","0.17","98.36","81.17"
"83","12,10","0.67","0.97","1.32","0.18","98.28","78.57"
"84","12,11","0.69","0.87","1.19","0.16","98.47","81.82"
"85","12,12","0.91","0.92","1.24","0.17","98.59","81.82"
"86","12,13","0.46","0.81","1.15","0.15","98.79","83.77"
"87","12,14","0.42","0.97","1.33","0.18","99.21","78.57"
"88","12,15","0.44","0.9","1.25","0.16","98.91","81.17"
"89","13,5","0.49","0.86","1.13","0.16","98.28","84.42"
"90","13,6","0.91","0.97","1.38","0.18","99.04","81.17"
