"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"24","7,6","0.84","1.45","0.93","1.2","0.19","99.54","80.52","0.9425"
"25","7,7","0.71","1.72","0.96","1.31","0.2","100","82.47","1.0475"
"26","7,8","0.89","1.71","0.97","1.31","0.2","99.9","80.52","1.0475"
"27","7,9","0.83","1.62","0.97","1.27","0.2","99.73","80.52","1.015"
"28","7,10","0.57","1.57","0.93","1.25","0.19","99.77","84.42","0.985"
"29","7,11","0.81","1.36","0.9","1.16","0.19","99.86","81.82","0.9025"
"30","7,12","0.92","1.71","0.97","1.31","0.2","99.79","81.82","1.0475"
"31","7,13","0.78","1.62","0.92","1.27","0.19","99.72","83.77","1"
"32","7,14","0.65","1.95","0.98","1.4","0.2","99.84","82.47","1.1325"
"33","7,15","0.68","1.64","0.91","1.28","0.19","99.69","83.12","1.005"
"34","8,5","0.77","1.27","0.88","1.13","0.18","99.63","85.71","0.865"
"35","8,6","0.75","1.99","1.02","1.41","0.21","99.52","81.17","1.1575"
"36","8,7","0.7","1.9","1.01","1.38","0.21","99.64","83.12","1.125"
"37","8,8","0.66","1.62","0.89","1.27","0.18","99.73","82.47","0.99"
"38","8,9","0.71","1.69","0.95","1.3","0.2","99.44","83.12","1.035"
"39","8,10","0.8","1.73","0.98","1.31","0.2","99.84","83.77","1.055"
"40","8,11","0.69","1.65","0.95","1.29","0.2","99.55","82.47","1.0225"
"41","8,12","0.79","1.81","1","1.34","0.21","99.74","81.17","1.09"
"42","8,13","0.86","1.62","0.93","1.27","0.19","99.87","85.71","1.0025"
"43","8,14","0.59","1.81","0.92","1.35","0.19","100","84.42","1.0675"
"44","8,15","0.83","1.24","0.84","1.11","0.18","99.39","84.42","0.8425"
"45","9,5","0.56","1.24","0.79","1.11","0.16","99.91","84.42","0.825"
"46","9,6","0.81","1.53","0.95","1.23","0.2","99.67","81.82","0.9775"
"47","9,7","0.62","1.4","0.87","1.19","0.18","99.78","87.66","0.91"
"48","9,8","0.75","1.54","0.91","1.24","0.19","99.39","85.06","0.97"
"49","9,9","0.59","1.32","0.86","1.15","0.18","99.57","84.42","0.8775"
"50","9,10","0.81","1.67","0.97","1.29","0.2","99.34","80.52","1.0325"
"51","9,11","0.82","1.66","0.92","1.29","0.19","99.51","85.06","1.015"
"52","9,12","0.75","1.37","0.88","1.17","0.18","99.73","87.01","0.9"
"53","9,13","0.79","1.71","0.96","1.31","0.2","99.52","82.47","1.045"
"54","9,14","0.76","1.65","0.95","1.28","0.2","99.48","84.42","1.02"
"55","9,15","0.62","1.52","0.91","1.23","0.19","98.91","83.12","0.9625"
"56","10,5","0.82","1.43","0.93","1.2","0.19","99.47","84.42","0.9375"
"57","10,6","0.6","1.49","0.89","1.22","0.19","99.58","84.42","0.9475"
"58","10,7","0.73","1.27","0.84","1.12","0.18","99.21","86.36","0.8525"
"59","10,8","0.6","1.32","0.86","1.15","0.18","99.81","83.12","0.8775"
"60","10,9","0.53","1.46","0.89","1.21","0.19","99.92","83.77","0.9375"
"61","10,10","0.59","1.32","0.86","1.15","0.18","99.93","87.01","0.8775"
"62","10,11","0.5","1.38","0.83","1.17","0.17","99.8","85.71","0.8875"
"63","10,12","0.56","1.4","0.86","1.18","0.18","99.77","81.82","0.905"
"64","10,13","0.78","1.75","0.97","1.32","0.2","99.52","81.82","1.06"
"65","10,14","0.66","1.5","0.88","1.22","0.18","99.9","84.42","0.945"
"66","10,15","0.45","2.2","0.94","1.48","0.2","98.73","85.71","1.205"
"67","11,5","0.57","1.37","0.87","1.17","0.18","99.81","82.47","0.8975"
"68","11,6","0.63","1.25","0.84","1.12","0.17","99.02","86.36","0.845"
"69","11,7","0.58","1.47","0.91","1.21","0.19","99.68","83.12","0.945"
"70","11,8","0.46","1.86","0.89","1.36","0.18","99.61","85.71","1.0725"
"71","11,9","0.49","1.11","0.76","1.05","0.16","99.61","87.66","0.77"
"72","11,10","0.8","1.87","1.01","1.37","0.21","99.57","81.82","1.115"
"73","11,11","0.84","1.55","0.91","1.25","0.19","99.74","86.36","0.975"
"74","11,12","0.71","1.67","0.95","1.29","0.2","99.77","82.47","1.0275"
"75","11,13","0.62","1.39","0.87","1.18","0.18","99.8","85.06","0.905"
"76","11,14","0.58","1.34","0.83","1.16","0.17","99.1","87.01","0.875"
"77","11,15","0.7","1.37","0.88","1.17","0.18","99.92","87.01","0.9"
"78","12,5","0.58","1.75","0.92","1.32","0.19","99.7","83.77","1.045"
"79","12,6","0.58","1.48","0.91","1.21","0.19","99.85","81.82","0.9475"
"80","12,7","0.39","1.64","0.8","1.28","0.17","99.88","89.61","0.9725"
"81","12,8","0.57","1.35","0.83","1.16","0.17","99.57","84.42","0.8775"
"82","12,9","0.47","1.6","0.9","1.26","0.19","99.97","85.71","0.9875"
"83","12,10","0.56","1.67","0.87","1.29","0.18","99.67","89.61","1.0025"
"84","12,11","0.61","1.32","0.85","1.15","0.18","99.83","88.31","0.875"
"85","12,12","0.39","1.35","0.9","1.16","0.19","99.93","82.47","0.9"
"86","12,13","0.47","1.34","0.83","1.16","0.17","99.9","87.01","0.875"
"87","12,14","0.46","1.84","0.92","1.36","0.19","99.93","83.77","1.0775"
"88","12,15","0.58","1.25","0.79","1.12","0.16","99.69","87.66","0.83"
"89","13,5","0.54","1.13","0.79","1.06","0.17","99.62","87.01","0.7875"
"90","13,6","0.66","1.52","0.92","1.23","0.19","99.26","85.06","0.965"
"91","13,7","3.2","3.3","1.35","1.82","0.28","99.25","72.73","1.6875"
"92","13,8","0.49","1.16","0.8","1.08","0.17","99.59","85.71","0.8025"
"93","13,9","0.45","1.32","0.83","1.15","0.17","99.88","83.77","0.8675"
"94","13,10","0.48","1.27","0.84","1.13","0.18","99.49","87.66","0.855"
"95","13,11","0.71","1.68","0.92","1.3","0.19","99.86","85.06","1.0225"
"96","13,12","0.56","1.33","0.85","1.15","0.18","99.92","85.71","0.8775"
"97","13,13","0.49","1.21","0.81","1.1","0.17","99.97","87.01","0.8225"
"98","13,14","0.59","1.24","0.82","1.11","0.17","99.7","86.36","0.835"
"99","13,15","0.46","1.28","0.83","1.13","0.17","99.96","85.06","0.8525"
"100","14,5","0.62","1.36","0.86","1.17","0.18","99.74","85.06","0.8925"
"101","14,6","0.43","1.33","0.81","1.15","0.17","99.32","88.31","0.865"
"102","14,7","0.51","1.22","0.81","1.11","0.17","99.89","90.91","0.8275"
"103","14,8","0.81","1.89","0.97","1.37","0.2","99.34","81.82","1.1075"
"104","14,9","0.5","1.68","0.89","1.3","0.19","99.4","85.71","1.015"
"105","14,10","0.59","1.68","0.86","1.29","0.18","99.46","85.71","1.0025"
"106","14,11","0.61","1.39","0.86","1.18","0.18","99.67","81.82","0.9025"
"107","14,12","0.44","1.32","0.81","1.15","0.17","99.44","85.71","0.8625"
"108","14,13","0.62","1.24","0.82","1.11","0.17","99.87","85.06","0.835"
"109","14,14","0.55","1.15","0.82","1.07","0.17","98.96","85.71","0.8025"
"110","14,15","0.44","1.21","0.79","1.1","0.16","99.56","87.01","0.815"
"111","15,5","0.52","1.39","0.89","1.18","0.18","99.41","85.06","0.91"
"112","15,6","0.49","1.4","0.83","1.19","0.17","99.57","85.06","0.8975"
"113","15,7","0.51","1.1","0.79","1.05","0.16","99.03","88.31","0.775"
"114","15,8","0.31","1.35","0.81","1.16","0.17","99.68","85.71","0.8725"
"115","15,9","0.54","1.36","0.85","1.17","0.18","99.95","87.66","0.89"
"116","15,10","0.27","1.48","0.86","1.22","0.18","99.06","83.77","0.935"
"117","15,11","0.44","1.36","0.78","1.16","0.16","99.99","86.36","0.865"
"118","15,12","0.54","1.51","0.87","1.23","0.18","99.88","85.06","0.9475"
"119","15,13","0.59","1.25","0.79","1.12","0.16","99.59","85.06","0.83"
"120","15,14","0.55","1.2","0.82","1.09","0.17","99.28","86.36","0.82"
"121","15,15","0.32","1.81","0.98","1.34","0.2","99.95","79.87","1.0825"
