"","Hidden neurons","wrong MSE","MSE","MAE","RMSE","RAE","accuracy","precision","mean"
"1","5,5","1.12","1.77","0.99","1.33","0.21","99.47","81.17","1.075"
"2","5,6","0.96","1.51","0.91","1.23","0.19","99.45","84.42","0.96"
"3","5,7","1.06","1.95","1.08","1.4","0.22","99.84","81.17","1.1625"
"4","5,8","1.01","1.67","0.95","1.29","0.2","99.95","87.01","1.0275"
"5","5,9","1.06","3.19","1.1","1.78","0.23","99.34","81.17","1.575"
"6","5,10","1.18","1.78","1.04","1.33","0.22","99.75","78.57","1.0925"
"7","5,11","1.12","1.72","1.03","1.31","0.21","99.4","79.87","1.0675"
"8","5,12","1.34","2.36","1.16","1.54","0.24","99.85","77.27","1.325"
"9","5,13","0.99","1.77","0.99","1.33","0.21","99.56","80.52","1.075"
"10","5,14","0.82","1.6","0.91","1.26","0.19","99.17","84.42","0.99"
"11","5,15","1","2.08","1.08","1.44","0.22","99.97","79.22","1.205"
"12","6,5","0.76","1.51","0.91","1.23","0.19","99.75","83.77","0.96"
"13","6,6","0.78","1.35","0.84","1.16","0.17","99.64","85.71","0.88"
"14","6,7","0.77","1.7","0.93","1.3","0.19","99.74","82.47","1.03"
"15","6,8","0.84","1.57","0.92","1.25","0.19","99.52","83.77","0.9825"
"16","6,9","0.83","1.57","0.94","1.25","0.2","99.66","83.12","0.99"
"17","6,10","0.77","1.72","0.94","1.31","0.2","99.97","85.71","1.0425"
"18","6,11","1.21","1.97","1.08","1.4","0.22","99.43","79.87","1.1675"
"19","6,12","0.9","1.77","0.97","1.33","0.2","99.98","80.52","1.0675"
"20","6,13","0.76","1.34","0.89","1.16","0.19","99.65","84.42","0.895"
"21","6,14","0.95","1.47","0.9","1.21","0.19","99.87","84.42","0.9425"
"22","6,15","0.77","1.72","0.92","1.31","0.19","99.56","83.12","1.035"
"23","7,5","0.83","1.7","0.98","1.31","0.2","99.68","81.82","1.0475"
