"","Hidden neurons","MSE","MAE","RMSE","RAE","accuracy","precision"
"1","5,5","0.89","0.88","1.2","0.19","99.29","86.36"
"2","5,6","0.84","0.86","1.21","0.18","99.52","86.36"
"3","5,7","0.88","0.91","1.27","0.19","99.41","84.42"
"4","5,8","1.04","0.91","1.27","0.19","99.5","84.42"
"5","5,9","0.99","0.91","1.23","0.19","99.41","85.06"
"6","5,10","1.02","0.91","1.23","0.2","99.39","84.42"
"7","5,11","0.97","0.95","1.28","0.2","99.18","83.77"
"8","5,12","0.97","0.93","1.28","0.2","99.14","85.06"
"9","5,13","1","0.9","1.25","0.19","99.38","85.71"
"10","5,14","1.22","0.98","1.33","0.21","99.25","85.71"
"11","5,15","0.83","0.91","1.22","0.19","99.15","82.47"
"12","6,5","0.76","0.83","1.11","0.18","99.06","85.71"
"13","6,6","0.77","0.84","1.17","0.18","99.24","88.31"
"14","6,7","0.73","0.84","1.12","0.18","99.73","87.66"
"15","6,8","0.92","0.91","1.19","0.2","99.05","88.31"
"16","6,9","0.56","0.94","1.71","0.2","98.94","86.36"
"17","6,10","0.94","0.9","1.21","0.19","99.44","87.66"
"18","6,11","1.12","0.99","1.38","0.21","99.65","85.71"
"19","6,12","0.7","0.86","1.29","0.18","99.04","87.01"
"20","6,13","0.9","0.92","1.25","0.2","99.6","87.66"
"21","6,14","0.79","0.85","1.11","0.18","99.5","87.66"
"22","6,15","1.05","0.92","1.23","0.2","99.02","86.36"
"23","7,5","0.73","0.8","1.04","0.17","99.34","87.66"
"24","7,6","0.79","0.82","1.08","0.17","99.32","90.91"
"25","7,7","0.81","0.89","1.2","0.19","99.39","85.71"
"26","7,8","0.73","0.82","1.1","0.18","99.04","83.77"
"27","7,9","0.74","0.78","1.1","0.17","98.85","88.96"
"28","7,10","0.69","0.82","1.14","0.18","98.95","86.36"
"29","7,11","0.58","0.96","2.23","0.2","99.5","85.71"
"30","7,12","0.8","0.83","1.13","0.18","99.14","87.01"
"31","7,13","2.49","1.21","1.67","0.26","98.9","78.57"
"32","7,14","0.71","0.82","1.1","0.18","99.02","88.31"
"33","7,15","0.8","0.88","1.21","0.19","99.05","86.36"
"34","8,5","0.82","0.86","1.17","0.18","99.49","87.01"
"35","8,6","0.73","0.8","1.11","0.17","99.38","87.01"
"36","8,7","0.58","0.75","1","0.16","98.86","90.91"
"37","8,8","0.56","0.81","1.06","0.17","99.4","88.96"
"38","8,9","0.87","0.89","1.21","0.19","99.52","85.71"
"39","8,10","0.46","0.85","1.37","0.18","99.48","91.56"
"40","8,11","0.77","0.83","1.12","0.18","99.2","88.31"
"41","8,12","0.72","0.88","1.21","0.19","99.12","87.01"
"42","8,13","0.77","0.82","1.18","0.17","99.18","85.71"
"43","8,14","0.59","0.76","1.05","0.16","99.36","88.96"
"44","8,15","0.71","0.9","1.25","0.19","99.5","86.36"
"45","9,5","0.62","0.76","1.04","0.16","98.96","87.66"
"46","9,6","0.51","0.93","1.63","0.2","99.85","87.01"
"47","9,7","0.46","0.75","1.08","0.16","99.62","90.26"
"48","9,8","0.91","0.88","1.16","0.19","99.45","87.66"
"49","9,9","0.71","0.84","1.1","0.18","98.86","88.31"
"50","9,10","0.55","0.85","1.19","0.18","99.05","88.31"
"51","9,11","0.6","0.81","1.12","0.17","99.2","88.96"
"52","9,12","0.71","0.83","1.12","0.18","99.11","86.36"
"53","9,13","0.52","0.77","1.01","0.16","99.02","88.31"
"54","9,14","0.85","0.87","1.19","0.19","99.19","85.06"
"55","9,15","0.94","0.92","1.25","0.2","99.49","85.06"
